player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Dany Mota,47,POR,FW,24,53,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.1,3,0,13,18,72.2,1,11,2,1,1
Andrea Petagna,37,ITA,FW,27,37,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,2,0,6,10,60.0,1,9,0,1,0
Gianluca Caprari,17,ITA,AM,29,65,0,0,0,0,2,0,0,0,34,3,0,1,0.2,0.2,0.1,2,0,21,24,87.5,1,18,2,1,0
Christian Gytkjær,9,DEN,AM,32,25,0,0,0,0,2,1,0,0,5,0,0,0,0.4,0.4,0.0,0,0,2,2,100.0,0,1,0,0,0
Matteo Pessina,32,ITA,AM,25,90,0,0,0,0,2,0,0,0,77,1,0,6,0.1,0.1,0.1,4,1,57,65,87.7,6,40,3,2,1
Stefano Sensi,12,ITA,CM,27,65,0,0,0,0,1,1,0,0,64,3,0,0,0.0,0.0,0.1,1,0,47,56,83.9,6,28,1,0,0
Warren Bondo,38,FRA,CM,19,25,0,0,0,0,0,0,1,0,17,0,0,0,0.0,0.0,0.0,2,0,13,16,81.3,2,13,1,0,0
Andrea Barberis,8,ITA,CM,28,45,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,0,20,25,80.0,0,10,0,0,0
Filippo Ranocchia,22,ITA,CM,21,45,1,0,0,0,4,1,0,0,30,1,1,1,0.1,0.1,0.0,3,1,23,23,100.0,2,17,0,1,1
Carlos,30,BRA,WB,23,90,0,0,0,0,1,1,0,0,58,3,2,0,0.2,0.2,0.0,4,0,40,47,85.1,3,25,0,1,0
Patrick Ciurria,84,ITA,WB,27,90,0,0,0,0,1,1,0,0,64,2,0,0,0.0,0.0,0.3,5,0,46,55,83.6,1,18,3,1,0
Luca Caldirola,5,ITA,CB,31,53,0,0,0,0,0,0,0,0,41,2,0,1,0.0,0.0,0.0,0,0,29,36,80.6,1,19,1,0,0
Andrea Carboni,44,ITA,CB,21,37,0,0,0,0,1,1,0,0,31,1,1,0,0.1,0.1,0.0,2,0,23,26,88.5,3,14,1,1,0
Pablo Marí,3,ESP,CB,29,90,0,0,0,0,1,0,0,0,50,2,1,0,0.0,0.0,0.0,0,0,33,39,84.6,2,20,0,0,0
Valentin Antov,26,BUL,CB,21,90,0,0,0,0,0,0,0,0,50,2,0,2,0.0,0.0,0.0,1,0,32,42,76.2,2,15,0,0,0
Michele Di Gregorio,16,ITA,GK,25,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,28,31,90.3,0,18,0,0,0
