player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Olivier Giroud,9,FRA,FW,36,84,0,0,0,0,4,1,0,0,30,0,0,0,0.3,0.3,0.1,3,0,14,24,58.3,2,13,0,0,0
Charles De Ketelaere,90,BEL,FW,21,6,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
Rafael Leão,17,POR,"LW,FW",23,90,0,1,0,0,1,0,1,0,31,0,1,0,0.0,0.0,0.3,3,1,15,22,68.2,2,24,5,6,4
Alexis Saelemaekers,56,BEL,RW,23,84,0,0,0,0,1,0,0,0,43,2,2,2,0.0,0.0,0.0,1,0,24,34,70.6,1,28,2,2,1
Matteo Gabbia,46,ITA,CB,23,6,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0
Brahim Díaz,10,ESP,AM,23,69,0,0,0,0,2,1,0,0,51,5,0,1,0.1,0.1,0.0,5,1,35,38,92.1,9,35,3,3,1
Tommaso Pobega,32,ITA,"AM,CM",23,21,1,0,0,0,1,1,0,0,7,0,0,0,0.2,0.2,0.0,0,0,2,4,50.0,0,3,0,0,0
Sandro Tonali,8,ITA,"DM,CM",22,90,0,1,0,0,1,0,1,0,40,5,2,1,0.1,0.1,0.2,2,1,20,27,74.1,3,15,1,0,0
Ismaël Bennacer,4,ALG,DM,25,73,0,0,0,0,0,0,1,0,71,4,1,0,0.0,0.0,0.1,3,0,55,61,90.2,8,44,0,0,0
Aster Vranckx,40,BEL,"CM,DM",20,17,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,1,5,20.0,0,4,0,0,0
Theo Hernández,19,FRA,LB,25,90,0,0,0,0,1,1,0,0,51,1,0,1,0.0,0.0,0.0,3,1,40,42,95.2,4,30,3,1,1
Fikayo Tomori,23,ENG,CB,25,90,0,0,0,0,0,0,1,0,80,3,1,0,0.0,0.0,0.0,0,0,68,73,93.2,3,53,0,0,0
Pierre Kalulu,20,FRA,CB,22,90,1,0,0,0,1,1,0,0,91,1,2,3,0.1,0.1,0.0,0,0,76,83,91.6,3,67,0,0,0
Davide Calabria,2,ITA,RB,26,90,0,0,0,0,0,0,0,0,100,5,0,0,0.0,0.0,0.1,2,0,76,91,83.5,13,45,3,1,0
Ciprian Tătărușanu,1,ROU,GK,36,90,0,0,0,0,0,0,0,0,35,0,1,0,0.0,0.0,0.0,0,0,29,34,85.3,0,25,0,0,0
