minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
10,Rafael Leão,Milan,0.02,,Blocked,31,Right Foot,,Fikayo Tomori,Pass (Dead),,
14,Ismaël Bennacer,Milan,0.09,,Blocked,24,Left Foot,Free kick,Brahim Díaz,Fouled,Ismaël Bennacer,Pass (Live)
14,Alexis Saelemaekers,Milan,0.02,,Off Target,36,Right Foot,,Ismaël Bennacer,Shot,,
20,Olivier Giroud,Milan,0.12,,Blocked,18,Right Foot,,Rafael Leão,Take-On,Ismaël Bennacer,Pass (Live)
23,Rafael Leão,Milan,0.10,,Off Target,13,Left Foot,,,,,
28,Olivier Giroud,Milan,0.07,,Off Target,14,Left Foot,Volley,Ismaël Bennacer,Pass (Dead),Alexis Saelemaekers,Pass (Live)
37,Rafael Leão,Milan,0.04,,Blocked,19,Right Foot,,Brahim Díaz,Pass (Live),Brahim Díaz,Take-On
39,Olivier Giroud,Milan,0.07,,Off Target,13,Head,,Alexis Saelemaekers,Pass (Live),Ismaël Bennacer,Pass (Live)
40,Theo Hernández,Milan,0.04,,Off Target,30,Left Foot,,Alexis Saelemaekers,Pass (Live),Pierre Kalulu,Pass (Live)
41,Theo Hernández,Milan,0.02,,Blocked,24,Left Foot,Volley,Brahim Díaz,Pass (Live),Olivier Giroud,Pass (Live)
42,Rafael Leão,Milan,0.01,,Blocked,32,Right Foot,,Pierre Kalulu,Pass (Live),Malick Thiaw,Pass (Live)
43,Ismaël Bennacer,Milan,0.02,,Off Target,33,Left Foot,,Pierre Kalulu,Pass (Live),Rafael Leão,Pass (Live)
44,Rade Krunić,Milan,0.07,,Off Target,16,Right Foot,,,,,
45+1,Olivier Giroud,Milan,0.25,0.30,Goal,5,Head,,Ismaël Bennacer,Pass (Dead),Alexis Saelemaekers,Pass (Live)
52,Ismaël Bennacer,Milan,0.09,,Off Target,16,Left Foot,,Pierre Kalulu,Pass (Live),Rade Krunić,Pass (Live)
52,Rafael Leão,Milan,0.15,,Off Target,10,Right Foot,,Ismaël Bennacer,Shot,,
65,Ismaël Bennacer,Milan,0.04,,Off Target,21,Left Foot,Volley,,,,
76,Zlatan Ibrahimović,Milan,0.24,,Off Target,5,Head,,Alexis Saelemaekers,Pass (Live),Charles De Ketelaere,Pass (Live)
76,Divock Origi,Milan,0.19,0.49,Saved,3,Other,,Zlatan Ibrahimović,Shot,,
77,Zlatan Ibrahimović,Milan,0.02,,Blocked,31,Right Foot,,Rade Krunić,Pass (Live),Malick Thiaw,Pass (Live)
78,Charles De Ketelaere,Milan,0.08,,Off Target,11,Head,,Alessandro Florenzi,Pass (Live),Ismaël Bennacer,Pass (Live)
87,Alessandro Florenzi,Milan,0.49,,Blocked,4,Right Foot,Volley,Pierre Kalulu,Pass (Live),Charles De Ketelaere,Pass (Live)
90+1,Zlatan Ibrahimović,Milan,0.04,0.24,Saved,18,Right Foot,,Divock Origi,Pass (Live),Charles De Ketelaere,Pass (Live)
90+2,Divock Origi,Milan,0.02,,Blocked,25,Right Foot,,Rade Krunić,Pass (Live),Malick Thiaw,Pass (Live)
