player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Olivier Giroud,9,FRA,FW,36,90,3,0,1,1,6,5,0,0,35,0,1,0,2.1,1.3,0.0,1,0,16,22,72.7,1,20,0,0,0
Rafael Leão,17,POR,LW,23,90,1,1,0,0,3,1,0,0,61,0,1,0,0.7,0.7,0.6,7,4,34,48,70.8,10,42,7,7,2
Junior Messias,30,BRA,RW,32,59,0,0,0,0,1,0,0,0,43,0,0,1,0.0,0.0,0.0,1,0,33,36,91.7,5,27,0,2,0
Alexis Saelemaekers,56,BEL,RW,23,31,0,0,0,0,1,0,0,0,25,1,0,1,0.0,0.0,0.1,3,0,19,22,86.4,2,18,2,3,3
Brahim Díaz,10,ESP,AM,23,69,1,2,0,0,1,1,0,0,45,0,2,0,0.6,0.6,1.0,7,4,30,39,76.9,4,34,3,4,3
Charles De Ketelaere,90,BEL,AM,22,21,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,2,0,9,10,90.0,2,12,0,1,0
Sandro Tonali,8,ITA,DM,23,80,0,1,0,0,1,0,0,0,80,0,0,0,0.0,0.0,0.9,7,2,66,76,86.8,8,47,1,0,0
Tommaso Pobega,32,ITA,DM,23,10,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,5,0,0,0
Rade Krunić,33,BIH,DM,29,90,0,0,0,0,1,0,0,0,84,1,0,2,0.1,0.1,0.0,1,0,72,77,93.5,7,53,1,0,0
Theo Hernández,19,FRA,LB,25,80,0,0,0,0,1,0,1,0,53,0,0,0,0.0,0.0,0.0,2,0,44,50,88.0,1,34,4,0,0
Fodé Ballo-Touré,5,SEN,LB,26,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
Fikayo Tomori,23,ENG,CB,25,80,0,0,0,0,0,0,0,0,62,2,1,0,0.0,0.0,0.0,0,0,53,56,94.6,5,36,0,0,0
Simon Kjær,24,DEN,CB,34,10,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,4,0,0,0
Malick Thiaw,28,GER,CB,21,90,0,0,0,0,1,1,0,0,92,2,1,1,0.1,0.1,0.0,0,0,83,85,97.6,9,57,0,0,0
Davide Calabria,2,ITA,RB,26,90,0,0,0,0,1,0,0,0,114,5,0,1,0.0,0.0,0.3,4,0,95,105,90.5,7,66,0,1,0
Mike Maignan,16,FRA,GK,27,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,22,23,95.7,0,19,0,0,0
