minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
5,Theo Hernández,Milan,0.04,,Off Target,16,Left Foot,,Brahim Díaz,Pass (Live),Sandro Tonali,Pass (Dead)
5,Junior Messias,Milan,0.02,,Off Target,24,Left Foot,,Rafael Leão,Pass (Live),Theo Hernández,Shot
9,Rafael Leão,Milan,0.59,0.85,Goal,11,Right Foot,,Brahim Díaz,Pass (Live),Brahim Díaz,Take-On
14,Rafael Leão,Milan,0.02,,Blocked,24,Right Foot,,Davide Calabria,Pass (Live),Sandro Tonali,Pass (Live)
23,Malick Thiaw,Milan,0.08,0.17,Saved,9,Head,,Sandro Tonali,Pass (Dead),Rafael Leão,Take-On
23,Olivier Giroud,Milan,0.23,0.67,Goal,5,Head,,Brahim Díaz,Pass (Live),Rafael Leão,Pass (Dead)
29,Olivier Giroud (pen),Milan,0.79,0.99,Goal,13,Left Foot,,Rafael Leão,Fouled,Sandro Tonali,Pass (Live)
33,Olivier Giroud,Milan,0.13,0.12,Saved,10,Head,,Sandro Tonali,Pass (Live),Rade Krunić,Pass (Live)
33,Rade Krunić,Milan,0.13,,Off Target,14,Right Foot,,Brahim Díaz,Pass (Live),Olivier Giroud,Shot
47,Rafael Leão,Milan,0.09,,Blocked,9,Right Foot,Volley,Sandro Tonali,Pass (Live),Junior Messias,Pass (Live)
47,Olivier Giroud,Milan,0.08,,Blocked,11,Left Foot,,Rafael Leão,Shot,,
50,Sandro Tonali,Milan,0.04,,Blocked,33,Right Foot,Free kick,Davide Calabria,Fouled,Theo Hernández,Pass (Live)
61,Olivier Giroud,Milan,0.21,0.18,Saved,8,Head,,Davide Calabria,Pass (Live),Brahim Díaz,Pass (Live)
63,Brahim Díaz,Milan,0.61,0.72,Goal,8,Right Foot,,Sandro Tonali,Pass (Live),Rafael Leão,Pass (Live)
68,Olivier Giroud,Milan,0.58,0.94,Goal,3,Left Foot,Volley,Rafael Leão,Pass (Live),Brahim Díaz,Pass (Live)
79,Alexis Saelemaekers,Milan,0.04,,Blocked,17,Left Foot,,Charles De Ketelaere,Pass (Live),Alexis Saelemaekers,Pass (Live)
79,Davide Calabria,Milan,0.02,,Off Target,30,Right Foot,Volley,Alexis Saelemaekers,Shot,,
79,Olivier Giroud,Milan,0.04,0.02,Saved,10,Left Foot,Volley,Davide Calabria,Shot,,
90,Charles De Ketelaere,Milan,0.07,,Off Target,10,Head,,Alexis Saelemaekers,Pass (Dead),Charles De Ketelaere,Fouled
