player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Olivier Giroud,9,FRA,FW,36,88,1,0,0,0,3,3,0,0,42,2,0,0,0.4,0.4,0.0,1,0,15,26,57.7,0,22,1,1,1
Divock Origi,27,BEL,FW,27,2,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,5,0,1,0
Rafael Leão,17,POR,AM,23,90,0,0,0,0,2,1,0,0,34,0,0,0,0.4,0.4,0.1,3,0,14,27,51.9,1,20,5,2,0
Brahim Díaz,10,ESP,AM,23,78,0,0,0,0,0,0,0,0,41,2,0,0,0.0,0.0,0.2,5,0,25,28,89.3,4,34,1,1,1
Charles De Ketelaere,90,BEL,AM,21,12,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,2,1,0,0
Sandro Tonali,8,ITA,CM,22,88,0,0,0,0,0,0,0,0,46,1,1,1,0.0,0.0,0.2,1,0,27,35,77.1,3,12,0,1,0
Tommaso Pobega,32,ITA,CM,23,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0
Rade Krunić,33,BIH,CM,29,90,0,0,0,0,0,0,0,0,61,5,0,2,0.0,0.0,0.0,1,1,45,53,84.9,3,31,2,1,1
Theo Hernández,19,FRA,WB,25,90,0,1,0,0,3,0,0,0,52,0,0,0,0.6,0.6,0.0,6,1,33,44,75.0,4,34,2,2,1
Alexis Saelemaekers,56,BEL,WB,23,88,0,0,0,0,1,0,0,0,61,6,3,1,0.1,0.1,0.0,0,0,36,41,87.8,3,29,3,3,2
Davide Calabria,2,ITA,WB,26,2,0,0,0,0,0,0,0,0,7,0,1,1,0.0,0.0,0.0,0,0,3,5,60.0,0,0,0,0,0
Malick Thiaw,28,GER,CB,21,90,0,0,0,0,0,0,0,0,54,4,1,1,0.0,0.0,0.0,0,0,28,43,65.1,1,21,1,1,1
Simon Kjær,24,DEN,CB,33,70,0,0,0,0,0,0,1,0,47,3,0,2,0.0,0.0,0.0,0,0,29,36,80.6,1,18,0,0,0
Matteo Gabbia,46,ITA,CB,23,20,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,5,7,71.4,0,3,0,0,0
Pierre Kalulu,20,FRA,CB,22,90,0,0,0,0,0,0,0,0,68,3,3,2,0.0,0.0,0.4,1,0,44,54,81.5,3,37,0,0,0
Ciprian Tătărușanu,1,ROU,GK,37,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,26,36,72.2,0,18,0,0,0
