player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Antonio Sanabria,9,PAR,FW,26,90,0,0,0,0,4,1,0,0,42,0,0,0,0.4,0.4,0.0,0,0,31,33,93.9,2,25,0,0,0
Nikola Vlašić,16,CRO,AM,25,79,0,0,0,0,0,0,0,0,49,2,0,1,0.0,0.0,0.1,2,0,31,36,86.1,3,28,2,5,3
Nemanja Radonjić,49,SRB,AM,26,11,0,0,0,0,0,0,1,0,11,0,0,0,0.0,0.0,0.2,1,0,3,8,37.5,1,6,1,1,0
Aleksei Miranchuk,59,RUS,AM,27,90,0,0,0,0,2,0,0,0,58,0,0,1,0.2,0.2,0.1,5,0,36,48,75.0,9,38,4,4,2
Gvidas Gineitis,66,LTU,CM,18,45,0,0,0,0,0,0,1,0,32,0,0,0,0.0,0.0,0.0,1,0,21,27,77.8,3,14,2,2,0
Karol Linetty,77,POL,CM,28,45,0,0,0,0,1,0,0,0,33,1,0,0,0.0,0.0,0.0,0,0,23,23,100.0,0,9,0,0,0
Michel Ndary Adopo,21,FRA,CM,22,68,0,0,0,0,1,0,0,0,58,3,1,0,0.0,0.0,0.0,2,0,46,49,93.9,2,27,1,1,1
Yann Karamoh,7,FRA,CM,24,22,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,8,0,2,0
Ricardo Rodríguez,13,SUI,WB,30,90,0,0,0,0,0,0,0,0,78,6,1,0,0.0,0.0,0.0,1,0,50,69,72.5,6,33,2,2,1
Wilfried Singo,17,CIV,WB,22,90,0,0,0,0,1,1,0,0,69,2,0,1,0.0,0.0,0.1,2,0,46,57,80.7,4,27,2,3,2
Alessandro Buongiorno,4,ITA,CB,23,56,0,0,0,0,1,0,1,0,39,2,4,1,0.0,0.0,0.0,2,0,23,29,79.3,0,14,1,1,0
Mërgim Vojvoda,27,KVX,CB,28,34,0,0,0,0,1,0,0,0,29,1,0,0,0.1,0.1,0.0,2,0,23,27,85.2,2,7,0,0,0
Perr Schuurs,3,NED,CB,23,90,0,0,0,0,1,0,1,0,53,1,0,2,0.0,0.0,0.0,0,0,36,41,87.8,4,22,0,1,0
Koffi Djidji,26,CIV,CB,30,79,0,0,0,0,0,0,0,0,30,1,1,0,0.0,0.0,0.0,1,0,16,24,66.7,1,10,0,0,0
Andrew Gravillon,5,GLP,CB,25,11,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,0,5,0,1,0
Vanja Milinković-Savić,32,SRB,GK,25,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,21,35,60.0,0,15,0,0,0
