player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Ante Rebić,12,CRO,FW,28,70,2,0,0,0,3,2,0,0,36,1,0,1,0.4,0.4,0.1,4,1,19,28,67.9,1,31,1,2,0
Olivier Giroud,9,FRA,FW,35,20,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,1,1,100.0,1,3,1,0,0
Rafael Leão,17,POR,LW,23,83,0,0,0,0,2,0,0,0,34,0,0,0,0.1,0.1,0.0,0,0,21,28,75.0,2,26,1,1,1
Divock Origi,27,BEL,LW,27,7,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,0,1,0
Junior Messias,30,BRA,RW,31,70,0,0,0,0,0,0,0,0,31,1,1,1,0.0,0.0,0.0,2,0,20,26,76.9,3,28,2,2,0
Alexis Saelemaekers,56,BEL,RW,23,20,0,0,0,0,3,0,0,0,12,2,0,0,0.1,0.1,0.0,1,0,3,7,42.9,1,8,1,1,0
Brahim Díaz,10,ESP,AM,23,70,1,1,0,0,2,2,0,0,37,2,0,1,0.8,0.8,0.3,6,4,24,31,77.4,5,34,4,2,1
Charles De Ketelaere,90,BEL,AM,21,20,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.1,3,0,9,10,90.0,2,12,1,4,2
Rade Krunić,33,BIH,DM,28,83,0,0,0,0,0,0,1,0,42,1,2,0,0.0,0.0,0.0,2,1,32,38,84.2,2,38,2,3,3
Tommaso Pobega,32,ITA,DM,23,7,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,0,0
Ismaël Bennacer,4,ALG,DM,24,90,0,0,0,0,1,0,0,0,66,2,1,1,0.0,0.0,0.1,3,0,56,62,90.3,5,51,0,2,2
Theo Hernández,19,FRA,LB,24,90,1,0,1,1,1,0,0,0,66,4,0,1,0.8,0.0,0.0,0,0,50,57,87.7,8,47,3,0,0
Fikayo Tomori,23,ENG,CB,24,90,0,0,0,0,0,0,0,0,72,1,1,0,0.0,0.0,0.0,1,0,60,68,88.2,6,55,1,1,1
Pierre Kalulu,20,FRA,CB,22,90,0,0,0,0,0,0,0,0,74,2,2,2,0.0,0.0,0.0,0,0,62,67,92.5,3,62,0,0,0
Davide Calabria,2,ITA,RB,25,90,0,1,0,0,0,0,0,0,104,6,1,0,0.0,0.0,0.1,4,2,75,97,77.3,6,70,0,1,0
Mike Maignan,16,FRA,GK,27,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,24,27,88.9,0,25,0,0,0
