player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Gerard Deulofeu,10,ESP,FW,28,90,0,1,0,0,1,0,0,0,46,0,0,0,0.1,0.1,0.1,4,1,31,38,81.6,4,40,6,2,0
Isaac Success,7,NGA,FW,26,65,0,0,0,0,2,0,0,0,28,1,0,0,0.1,0.1,0.0,1,1,10,21,47.6,1,24,2,3,1
Beto,9,GNB,FW,24,25,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,10,0,1,0
Jean-Victor Makengo,6,FRA,CM,24,75,0,0,0,0,0,0,0,0,24,0,1,1,0.0,0.0,0.0,0,0,18,20,90.0,1,16,0,0,0
Lazar Samardzic,24,SRB,CM,20,15,0,0,0,0,1,1,0,0,12,0,0,0,0.0,0.0,0.0,0,0,11,11,100.0,3,9,0,0,0
Walace,11,BRA,CM,27,75,0,0,0,0,0,0,0,0,47,2,2,1,0.0,0.0,0.0,1,0,31,40,77.5,0,31,1,0,0
Sandi Lovrić,4,SVN,CM,24,15,0,0,0,0,1,0,0,0,14,1,1,0,0.1,0.1,0.0,1,0,7,9,77.8,1,9,0,1,0
Roberto Pereyra,37,ARG,CM,31,90,0,1,0,0,0,0,0,0,51,0,2,0,0.0,0.0,0.1,3,2,39,41,95.1,9,40,2,3,1
Adam Masina,3,MAR,WB,28,82,1,0,0,0,1,1,0,0,45,0,1,0,0.0,0.0,0.0,0,0,25,38,65.8,2,29,2,0,0
Festy Ebosele,2,IRL,WB,20,8,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,1,0
Brandon Soppy,93,FRA,WB,20,90,0,0,0,0,2,1,1,0,48,1,1,4,0.1,0.1,0.2,4,0,22,32,68.8,4,33,4,6,1
Nehuén Pérez,18,ARG,CB,22,65,0,0,0,0,0,0,1,0,43,5,2,0,0.0,0.0,0.0,0,0,23,29,79.3,0,23,1,1,0
Enzo Ebosse,23,CMR,CB,23,25,0,0,0,0,0,0,0,0,16,1,0,2,0.0,0.0,0.0,0,0,10,12,83.3,2,9,0,0,0
Bram Nuytinck,17,NED,CB,32,90,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,0,0,17,20,85.0,0,13,0,0,0
Rodrigo Becão,50,BRA,CB,26,90,1,0,0,0,1,1,1,0,42,2,1,0,0.1,0.1,0.0,2,0,29,33,87.9,1,24,0,0,0
Marco Silvestri,1,ITA,GK,31,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,26,30,86.7,0,18,0,0,0
