player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Andrea Petagna,37,ITA,FW,27,58,0,0,0,0,2,2,0,0,21,0,0,2,0.1,0.1,0.0,0,0,9,12,75.0,1,9,1,1,1
Pepín,7,EQG,"CM,AM",26,32,0,0,0,0,1,1,1,0,28,0,2,1,0.0,0.0,0.0,1,0,22,25,88.0,3,22,3,1,1
Dany Mota,47,POR,"AM,FW",24,82,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.2,2,0,17,25,68.0,4,20,2,2,1
Mattia Valoti,10,ITA,AM,29,8,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,2,6,0,0,0
Gianluca Caprari,17,ITA,AM,29,90,0,0,0,0,0,0,0,0,52,3,1,0,0.0,0.0,0.0,2,0,28,38,73.7,6,32,1,6,2
Matteo Pessina,32,ITA,"CM,CB",25,90,0,0,0,0,0,0,0,0,90,6,0,2,0.0,0.0,0.0,1,0,62,73,84.9,7,57,4,4,3
Nicolò Rovella,6,ITA,CM,21,69,0,0,0,0,2,1,1,0,72,4,3,0,0.1,0.1,0.0,2,0,56,63,88.9,5,43,1,2,1
Stefano Sensi,12,ITA,CM,27,21,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.0,7,0,27,33,81.8,5,17,1,0,0
Patrick Ciurria,84,ITA,WB,28,90,0,0,0,0,3,1,0,0,65,2,0,0,0.1,0.1,0.0,2,0,40,57,70.2,3,35,0,2,0
Samuele Birindelli,19,ITA,WB,23,58,0,0,0,0,0,0,1,0,42,0,0,1,0.0,0.0,0.0,1,0,23,35,65.7,0,24,2,1,1
Franco Carboni,11,ITA,WB,19,32,0,0,0,0,0,0,0,0,32,0,1,2,0.0,0.0,0.0,1,0,18,27,66.7,1,16,2,4,1
Armando Izzo,55,ITA,CB,30,90,0,0,0,0,1,0,0,0,63,3,2,0,0.1,0.1,0.0,1,0,42,52,80.8,6,34,0,0,0
Pablo Marí,3,ESP,CB,29,90,0,0,0,0,2,0,0,0,81,2,2,1,0.1,0.1,0.0,0,0,64,72,88.9,2,49,1,0,0
Marlon,4,BRA,CB,27,70,0,0,0,0,0,0,1,0,50,1,3,0,0.0,0.0,0.0,0,0,37,41,90.2,3,30,1,2,1
Christian Gytkjær,9,DEN,FW,32,20,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,1,0
Michele Di Gregorio,16,ITA,GK,25,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,23,33,69.7,0,25,0,0,0
