player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Giovanni Simeone,18,ARG,FW,27,76,0,0,0,0,2,0,0,0,17,0,0,0,0.2,0.2,0.0,1,0,9,11,81.8,0,18,1,1,1
Giacomo Raspadori,81,ITA,FW,23,14,0,0,0,0,2,0,0,0,6,0,1,0,0.2,0.2,0.0,1,0,1,2,50.0,1,5,0,1,1
Khvicha Kvaratskhelia,77,GEO,LW,22,90,0,0,0,0,3,0,0,0,50,0,0,0,0.2,0.2,0.2,7,0,32,38,84.2,5,33,7,8,5
Matteo Politano,21,ITA,RW,29,67,0,0,0,0,3,0,0,0,46,1,0,1,0.1,0.1,0.0,1,0,25,31,80.6,4,32,5,3,0
Hirving Lozano,11,MEX,RW,27,23,0,0,0,0,3,1,0,0,16,2,0,0,0.1,0.1,0.1,1,0,7,9,77.8,0,12,1,1,0
Piotr Zieliński,20,POL,LM,28,67,0,0,0,0,1,1,0,0,51,0,0,2,0.0,0.0,0.2,4,0,39,45,86.7,3,38,1,2,1
Tanguy Ndombele,91,FRA,LM,26,23,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,2,0,13,15,86.7,3,13,2,5,3
Stanislav Lobotka,68,SVK,CM,28,67,0,0,0,0,2,1,1,0,61,1,2,0,0.0,0.0,0.1,4,0,50,56,89.3,3,43,0,0,0
Elif Elmas,7,MKD,CM,23,23,0,0,0,0,0,0,0,0,18,2,0,0,0.0,0.0,0.0,0,0,15,16,93.8,2,16,1,0,0
Andre-Frank Zambo Anguissa,99,CMR,RM,27,90,0,0,0,0,1,0,0,0,80,1,4,1,0.0,0.0,0.3,7,0,64,69,92.8,11,65,3,2,0
Mário Rui,6,POR,LB,31,90,0,0,0,0,1,1,0,0,85,2,0,1,0.1,0.1,0.2,4,0,59,78,75.6,9,61,4,2,1
Kim Min-jae,3,KOR,CB,26,80,0,0,0,0,0,0,0,0,75,0,1,0,0.0,0.0,0.0,1,0,59,70,84.3,7,57,1,0,0
Juan Jesus,5,BRA,CB,31,10,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,11,11,100.0,4,10,1,0,0
Amir Rrahmani,13,KVX,CB,29,90,0,0,0,0,1,0,0,0,84,0,0,2,0.0,0.0,0.0,1,0,65,74,87.8,2,63,1,1,0
Giovanni Di Lorenzo,22,ITA,RB,29,90,0,0,0,0,1,0,0,0,74,4,1,1,0.2,0.2,0.0,1,0,51,65,78.5,10,52,4,1,1
Alex Meret,1,ITA,GK,26,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,30,30,100.0,0,24,0,0,0
