player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Olivier Giroud,9,FRA,FW,36,87,0,0,0,0,1,0,0,0,24,0,0,0,0.1,0.1,0.0,1,0,12,21,57.1,1,14,0,0,0
Divock Origi,27,BEL,FW,28,3,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,0,0,0
Rafael Leão,17,POR,LW,23,90,0,1,0,0,1,0,0,0,53,0,0,1,0.0,0.0,0.5,4,1,30,38,78.9,6,34,5,13,7
Brahim Díaz,10,ESP,RW,23,55,0,0,0,0,1,0,0,0,26,1,0,0,0.0,0.0,0.1,2,0,16,18,88.9,0,21,1,4,1
Alexis Saelemaekers,56,BEL,RW,23,35,1,0,0,0,4,1,0,0,24,2,0,0,0.6,0.6,0.0,2,0,8,14,57.1,1,14,2,3,2
Ismaël Bennacer,4,ALG,AM,25,72,0,0,0,0,1,0,0,0,45,1,0,1,0.0,0.0,0.0,2,0,29,36,80.6,2,31,1,0,0
Charles De Ketelaere,90,BEL,AM,22,18,0,0,0,0,0,0,0,0,13,1,1,1,0.0,0.0,0.0,0,0,7,9,77.8,2,9,0,1,0
Sandro Tonali,8,ITA,DM,22,90,0,0,0,0,0,0,0,0,87,2,0,3,0.0,0.0,0.1,1,0,68,81,84.0,8,60,5,0,0
Rade Krunić,33,BIH,DM,29,90,0,0,0,0,1,0,1,0,75,0,0,3,0.1,0.1,0.0,2,0,61,68,89.7,5,53,2,2,1
Theo Hernández,19,FRA,LB,25,90,0,0,0,0,0,0,0,0,92,1,2,0,0.0,0.0,0.1,2,0,74,83,89.2,7,68,4,2,0
Fikayo Tomori,23,ENG,CB,25,45,0,0,0,0,1,0,1,0,44,1,0,1,0.1,0.1,0.0,0,0,31,36,86.1,0,28,0,0,0
Malick Thiaw,28,GER,CB,21,45,0,0,0,0,0,0,0,0,38,2,0,0,0.0,0.0,0.0,0,0,28,32,87.5,3,22,0,0,0
Simon Kjær,24,DEN,CB,34,72,0,0,0,0,0,0,0,0,66,1,1,3,0.0,0.0,0.0,0,0,52,57,91.2,5,48,0,0,0
Pierre Kalulu,20,FRA,CB,22,18,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,1,1,18,20,90.0,1,18,0,0,0
Davide Calabria,2,ITA,RB,26,90,0,0,0,0,1,0,0,0,85,2,1,3,0.0,0.0,0.0,3,0,57,72,79.2,5,47,1,0,0
Mike Maignan,16,FRA,GK,27,90,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,46,51,90.2,0,41,0,0,0
