player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Francesco Caputo,10,ITA,FW,35,77,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,3,1,12,15,80.0,0,6,1,1,0
Fabio Quagliarella,27,ITA,FW,39,13,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,1,3,0,0,0
Filip Đuričić,7,SRB,LM,30,77,1,0,0,0,2,1,0,0,37,1,0,0,0.3,0.3,0.0,0,0,18,26,69.2,2,25,1,3,1
Valerio Verre,5,ITA,LM,28,13,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.0,1,0,9,12,75.0,1,7,2,3,1
Abdelhamid Sabiri,11,MAR,CM,25,90,0,0,0,0,0,0,0,0,69,1,0,1,0.0,0.0,0.0,1,0,44,56,78.6,2,35,0,4,1
Tomás Rincón,8,VEN,CM,34,90,0,0,0,0,2,0,0,0,66,2,0,0,0.1,0.1,0.0,0,0,51,59,86.4,5,35,1,1,0
Mehdi Léris,37,ALG,"RM,RB",24,90,0,0,0,0,1,0,1,0,58,4,0,3,0.1,0.1,0.0,2,0,35,47,74.5,3,30,4,0,0
Gonzalo Villar,4,ESP,DM,24,85,0,0,0,0,0,0,1,0,50,3,0,2,0.0,0.0,0.0,0,0,40,42,95.2,6,22,1,2,2
Ronaldo Vieira,14,GNB,MF,24,5,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,
Tommaso Augello,3,ITA,LB,28,90,0,1,0,0,0,0,1,0,62,0,1,1,0.0,0.0,0.3,4,1,52,59,88.1,2,30,2,2,1
Jeison Murillo,21,COL,CB,30,90,0,0,0,0,0,0,0,0,60,2,1,1,0.0,0.0,0.0,0,0,47,50,94.0,4,32,1,0,0
Alex Ferrari,25,ITA,CB,28,90,0,0,0,0,0,0,1,0,68,1,1,4,0.0,0.0,0.1,1,0,54,58,93.1,4,35,0,0,0
Bartosz Bereszyński,24,POL,RB,30,58,0,0,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.0,0,0,27,30,90.0,5,15,2,2,1
Manolo Gabbiadini,23,ITA,RM,30,32,0,0,0,0,4,3,0,0,20,0,0,1,0.3,0.3,0.0,1,0,11,15,73.3,2,11,0,0,0
Emil Audero,1,ITA,GK,25,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,23,32,71.9,0,16,0,0,0
