minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
8,Tommaso Pobega,Milan,0.02,0.03,Saved,9,Left Foot,,Rafael Leão,Pass (Live),Tommaso Pobega,Pass (Live)
8,Rafael Leão,Milan,0.05,,Off Target,14,Right Foot,,Tommaso Pobega,Shot,,
12,Rafael Leão,Milan,0.04,,Off Target,26,Right Foot,,Rafael Leão,Take-On,,
13,Rafael Leão,Milan,0.03,,Blocked,13,Right Foot,,Theo Hernández,Pass (Live),Ismaël Bennacer,Pass (Live)
16,Brahim Díaz,Milan,0.02,,Off Target,27,Right Foot,,Rafael Leão,Pass (Live),Ismaël Bennacer,Pass (Live)
34,Tommaso Pobega,Milan,0.02,,Blocked,33,Left Foot,,Alessandro Florenzi,Pass (Live),Alexis Saelemaekers,Pass (Live)
40,Olivier Giroud,Milan,0.14,,Off Target,16,Left Foot,,Brahim Díaz,Pass (Live),Ismaël Bennacer,Pass (Live)
70,Rafael Leão,Milan,0.10,,Blocked,10,Right Foot,,Junior Messias,Pass (Live),Junior Messias,Take-On
70,Rafael Leão,Milan,0.06,,Blocked,12,Right Foot,,Alessandro Florenzi,Pass (Dead),Rafael Leão,Shot
74,Theo Hernández,Milan,0.03,,Off Target,30,Left Foot,Free kick,Sandro Tonali,Pass (Dead),Rafael Leão,Fouled
90+4,Rafael Leão,Milan,0.15,0.06,Saved,16,Right Foot,,Charles De Ketelaere,Pass (Live),Mike Maignan,Pass (Live)
