player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Divock Origi,27,BEL,"FW,LW",27,90,0,0,0,0,1,0,0,0,32,0,0,0,0.1,0.1,0.0,2,0,14,21,66.7,1,12,1,0,0
Rafael Leão,17,POR,LW,23,45,0,0,0,0,4,0,0,0,24,0,0,0,0.6,0.6,0.0,2,0,14,15,93.3,2,15,0,3,2
Ante Rebić,12,CRO,"LW,RW",29,45,0,0,0,0,1,0,0,0,20,0,0,1,0.1,0.1,0.0,2,0,9,14,64.3,1,11,1,1,1
Junior Messias,30,BRA,RW,31,77,1,0,0,0,1,1,0,0,33,1,0,2,0.1,0.1,0.0,2,0,14,24,58.3,2,17,0,0,0
Olivier Giroud,9,FRA,FW,36,13,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.0,1,0,3,3,100.0,0,3,0,0,0
Brahim Díaz,10,ESP,AM,23,45,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.5,3,0,6,8,75.0,3,13,0,0,0
Charles De Ketelaere,90,BEL,AM,21,45,0,0,0,0,1,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,13,17,76.5,2,15,2,2,1
Tommaso Pobega,32,ITA,DM,23,90,0,0,0,0,1,0,1,0,36,1,1,1,0.0,0.0,0.0,0,0,21,29,72.4,2,12,0,0,0
Sandro Tonali,8,ITA,DM,22,69,0,0,0,0,0,0,0,0,47,6,1,0,0.0,0.0,0.0,1,0,30,38,78.9,1,21,0,1,1
Ismaël Bennacer,4,ALG,DM,24,21,0,0,0,0,1,0,0,0,26,5,0,0,0.0,0.0,0.1,1,0,12,15,80.0,1,11,0,0,0
Theo Hernández,19,FRA,LB,25,90,0,0,0,0,0,0,0,0,62,1,0,0,0.0,0.0,0.0,0,0,45,56,80.4,1,31,2,0,0
Fikayo Tomori,23,ENG,CB,24,90,0,0,0,0,0,0,0,0,62,4,0,0,0.0,0.0,0.0,0,0,48,57,84.2,5,29,1,0,0
Matteo Gabbia,46,ITA,CB,23,90,0,0,0,0,0,0,0,0,71,5,0,2,0.0,0.0,0.0,1,0,45,61,73.8,1,28,0,0,0
Pierre Kalulu,20,FRA,RB,22,45,0,0,0,0,0,0,1,0,43,1,0,0,0.0,0.0,0.0,1,0,35,39,89.7,1,23,1,0,0
Sergiño Dest,21,USA,RB,21,45,0,0,0,0,1,0,0,0,44,2,0,0,0.0,0.0,0.1,3,1,26,35,74.3,0,25,1,2,0
Ciprian Tătărușanu,1,ROU,GK,36,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,1,1,30,36,83.3,0,21,0,0,0
