player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Beto,9,GNB,FW,25,90,1,0,0,0,2,1,0,0,31,0,0,1,0.3,0.3,0.0,1,0,8,14,57.1,1,12,1,9,6
Isaac Success,7,NGA,FW,27,73,0,1,0,0,3,2,0,0,40,0,1,0,0.2,0.2,0.5,5,2,15,27,55.6,4,19,4,7,4
Florian Thauvin,26,FRA,FW,30,17,0,0,0,0,1,0,0,0,9,0,0,0,0.2,0.2,0.0,0,0,1,3,33.3,0,4,0,0,0
Roberto Pereyra,37,ARG,CM,32,80,1,0,0,0,2,1,0,0,34,0,0,0,0.1,0.1,0.1,5,0,23,26,88.5,8,17,1,5,3
Tolgay Arslan,5,GER,CM,32,10,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,1,0,2,1
Walace,11,BRA,CM,27,90,0,0,0,0,2,0,1,0,50,4,1,1,0.0,0.0,0.0,0,0,25,38,65.8,2,15,1,0,0
Lazar Samardzic,24,SRB,CM,21,72,0,1,0,0,2,0,0,0,36,1,1,0,0.1,0.1,0.1,2,1,22,29,75.9,4,16,0,0,0
Sandi Lovrić,4,SVN,CM,24,18,0,0,0,0,0,0,0,0,7,0,1,1,0.0,0.0,0.0,0,0,5,5,100.0,0,3,0,1,1
Iyenoma Udogie,13,ITA,WB,20,88,0,1,0,0,1,0,0,0,49,2,1,3,0.1,0.1,0.9,5,1,29,37,78.4,3,25,4,2,1
Marvin Zeegelaar,8,NED,WB,32,2,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,3,3,100.0,0,4,0,0,0
Kingsley Ehizibue,19,NED,WB,27,87,1,0,0,0,1,1,0,0,28,2,0,1,0.8,0.8,0.0,0,0,10,16,62.5,1,12,0,2,1
Festy Ebosele,2,IRL,WB,20,3,0,0,0,0,0,0,1,0,2,1,0,0,0.0,0.0,0.2,2,0,1,1,100.0,0,1,1,0,0
Nehuén Pérez,18,ARG,CB,22,90,0,0,0,0,0,0,1,0,46,4,1,0,0.0,0.0,0.0,1,0,27,33,81.8,4,19,0,0,0
Jaka Bijol,29,SVN,CB,24,90,0,0,0,0,0,0,0,0,36,0,1,1,0.0,0.0,0.1,1,0,20,25,80.0,2,15,0,0,0
Rodrigo Becão,50,BRA,CB,27,90,0,0,0,0,0,0,1,0,32,3,0,2,0.0,0.0,0.0,1,0,14,25,56.0,2,9,0,0,0
Marco Silvestri,1,ITA,GK,32,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,18,30,60.0,0,16,0,0,0
