player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,34,90,0,1,0,0,7,3,0,0,68,0,0,0,0.7,0.7,0.3,7,0,48,56,85.7,6,47,3,2,1
Vinicius Júnior,20,BRA,LW,22,82,0,0,0,0,4,2,0,0,58,1,0,0,0.3,0.3,0.4,8,1,34,44,77.3,5,49,10,3,0
Dani Ceballos,19,ESP,LM,26,8,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,0,0,11,12,91.7,1,11,0,0,0
Federico Valverde,15,URU,"RW,RM",24,90,0,0,0,0,4,4,0,0,58,0,0,0,0.2,0.2,0.3,8,1,47,51,92.2,9,45,5,2,1
Toni Kroos,8,GER,"LM,CM",32,82,0,0,0,0,3,2,0,0,113,1,1,2,0.1,0.1,0.4,5,0,87,104,83.7,15,76,5,2,1
Casemiro,14,BRA,CM,30,8,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,0,7,0,0,0
Aurélien Tchouaméni,18,FRA,CM,22,57,0,0,0,0,1,0,0,0,55,2,1,0,0.1,0.1,0.0,3,0,45,47,95.7,5,47,2,2,0
Eden Hazard,7,BEL,"RW,LW",31,33,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.1,2,0,20,20,100.0,1,17,1,1,1
Eduardo Camavinga,12,FRA,RM,19,45,0,0,0,0,2,0,1,0,29,2,0,0,0.1,0.1,0.1,5,0,20,21,95.2,4,24,2,1,1
Luka Modrić,10,CRO,"RM,LM",36,45,0,0,0,0,2,0,0,0,62,0,1,1,0.1,0.1,0.0,2,1,50,55,90.9,5,53,3,1,0
Ferland Mendy,23,FRA,LB,27,73,0,0,0,0,0,0,0,0,70,2,0,0,0.0,0.0,0.1,5,0,60,64,93.8,11,55,4,3,2
David Alaba,4,AUT,LB,30,17,1,0,0,0,1,1,0,0,24,0,0,1,0.1,0.1,0.0,1,0,20,23,87.0,1,16,0,1,1
Nacho,6,ESP,CB,32,90,0,0,0,0,0,0,0,0,66,0,2,1,0.0,0.0,0.0,2,0,59,61,96.7,4,45,1,0,0
Antonio Rüdiger,22,GER,CB,29,90,0,0,0,0,2,1,0,0,49,0,1,1,0.2,0.2,0.0,1,0,36,43,83.7,2,34,0,0,0
Lucas Vázquez,17,ESP,RB,31,90,1,0,0,0,3,2,0,0,71,1,1,0,0.2,0.2,0.1,2,0,54,63,85.7,2,50,4,1,1
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,31,35,88.6,0,27,0,0,0
