player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Gonçalo Paciência,9,POR,FW,28,68,0,0,0,0,4,0,0,0,13,0,0,0,0.2,0.2,0.0,2,1,3,5,60.0,0,9,0,0,0
Carles Pérez,7,ESP,FW,24,22,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.0,2,0,11,12,91.7,3,15,1,1,1
Iago Aspas,10,ESP,FW,35,90,1,0,1,1,0,0,0,0,56,0,1,1,0.8,0.0,0.1,4,0,38,43,88.4,5,33,4,2,1
Óscar Rodríguez Arnaiz,5,ESP,LM,24,78,0,0,0,0,3,1,0,0,58,1,0,0,0.1,0.1,0.1,5,0,49,53,92.5,7,37,1,1,1
Gabriel Veiga,28,ESP,LM,20,12,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,4,1,1,0
Fran Beltrán,8,ESP,CM,23,90,0,0,0,0,2,0,0,0,97,1,2,1,0.0,0.0,0.1,5,0,85,87,97.7,14,62,5,1,1
Franco Cervi,11,ARG,RM,28,90,0,0,0,0,2,0,0,0,43,3,1,1,0.1,0.1,0.0,2,0,25,36,69.4,2,27,3,2,1
Renato Tapia,14,PER,DM,27,86,0,0,0,0,0,0,1,0,76,0,1,4,0.0,0.0,0.1,1,0,63,67,94.0,3,40,1,1,1
Luca de la Torre,23,USA,DM,24,4,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,2,5,0,0,0
Javi Galán,17,ESP,LB,27,90,0,0,0,0,1,0,0,0,77,2,1,0,0.1,0.1,0.1,2,0,50,68,73.5,4,56,7,4,2
Unai Núñez,4,ESP,CB,25,90,0,0,0,0,0,0,0,0,60,1,1,1,0.0,0.0,0.0,0,0,49,54,90.7,3,42,1,0,0
Joseph Aidoo,15,GHA,CB,26,90,0,0,0,0,1,0,0,0,58,3,0,2,0.1,0.1,0.0,0,0,46,49,93.9,4,36,1,0,0
Hugo Mallo,2,ESP,RB,31,90,0,0,0,0,0,0,1,0,76,2,0,0,0.0,0.0,0.0,3,0,49,69,71.0,6,45,4,3,2
Agustín Marchesín,1,ARG,GK,34,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,20,25,80.0,0,13,0,0,0
