player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Robert Lewandowski,9,POL,FW,34,90,0,0,0,0,4,1,0,0,39,1,0,1,0.5,0.5,0.0,4,1,25,30,83.3,1,27,1,2,2
Gavi,6,ESP,LW,18,89,0,0,0,0,1,0,0,0,61,3,1,3,0.1,0.1,0.0,1,0,42,47,89.4,9,42,1,3,3
Ansu Fati,10,ESP,LW,20,1,0,0,0,0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,3,1,1,1
Raphinha,22,BRA,RW,26,82,0,0,0,0,5,3,1,0,57,1,1,0,0.4,0.4,0.2,9,1,26,45,57.8,4,41,7,5,1
Ferrán Torres,11,ESP,RW,23,8,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,4,1,0,0
Frenkie de Jong,21,NED,LM,25,90,0,0,0,0,1,0,0,0,92,3,2,0,0.0,0.0,0.3,6,0,79,86,91.9,11,63,2,3,3
Sergio Busquets,5,ESP,CM,34,90,0,0,0,0,0,0,0,0,92,3,0,1,0.0,0.0,0.5,3,0,74,84,88.1,13,51,0,3,3
Sergi Roberto,20,ESP,RM,31,76,1,0,0,0,2,1,1,0,41,0,1,0,0.2,0.2,0.1,4,0,30,37,81.1,4,21,1,0,0
Franck Kessié,19,CIV,RM,26,14,1,0,0,0,1,1,0,0,10,0,1,0,0.2,0.2,0.1,1,0,6,8,75.0,2,8,1,1,1
Alejandro Balde,28,ESP,LB,19,90,0,1,0,0,0,0,1,0,75,1,0,3,0.0,0.0,0.2,2,1,54,65,83.1,2,51,3,2,0
Andreas Christensen,15,DEN,CB,26,90,0,0,0,0,2,1,0,0,88,1,1,1,0.2,0.2,0.0,0,0,77,79,97.5,7,58,0,0,0
Jules Koundé,23,FRA,CB,24,90,0,0,0,0,0,0,0,0,53,1,1,2,0.0,0.0,0.0,2,0,40,46,87.0,3,33,2,2,2
Ronald Araújo,4,URU,RB,24,90,0,0,0,0,1,0,0,0,50,4,0,1,0.0,0.0,0.0,0,0,29,36,80.6,3,24,3,2,2
Marc-André ter Stegen,1,GER,GK,30,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,35,39,89.7,0,26,0,0,0
