player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,90,0,0,0,0,4,2,0,0,45,0,0,0,0.2,0.2,0.0,3,0,29,36,80.6,9,29,4,3,1
Vinicius Júnior,20,BRA,LW,22,90,0,0,0,0,2,1,0,0,56,2,0,1,0.1,0.1,0.1,5,0,29,40,72.5,3,44,9,7,2
Federico Valverde,15,URU,"RW,DM",24,75,0,0,0,0,1,0,0,0,47,1,2,0,0.1,0.1,0.0,3,0,27,35,77.1,3,28,2,0,0
Marco Asensio,11,ESP,RW,27,15,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,2,7,1,1,1
Luka Modrić,10,CRO,"AM,RW",37,75,0,0,0,0,1,0,1,0,44,1,1,0,0.0,0.0,0.0,0,0,37,39,94.9,4,30,2,2,1
Dani Ceballos,19,ESP,DM,26,15,0,0,0,0,0,0,1,0,20,0,1,1,0.0,0.0,0.0,1,0,19,20,95.0,2,14,0,0,0
Toni Kroos,8,GER,DM,33,61,0,0,0,0,0,0,0,0,40,2,0,0,0.0,0.0,0.0,0,0,36,37,97.3,2,22,0,0,0
Rodrygo,21,BRA,AM,22,29,0,0,0,0,1,0,0,0,25,0,0,1,0.1,0.1,0.1,1,0,17,20,85.0,5,22,4,2,0
Eduardo Camavinga,12,FRA,DM,20,75,0,0,0,0,0,0,0,0,37,2,0,0,0.0,0.0,0.0,2,0,29,31,93.5,3,26,0,1,1
Aurélien Tchouaméni,18,FRA,DM,23,15,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.0,1,0,14,14,100.0,1,10,0,0,0
Nacho,6,ESP,LB,33,61,0,0,0,0,0,0,1,0,39,1,1,0,0.0,0.0,0.0,0,0,23,31,74.2,2,25,1,2,1
Ferland Mendy,23,FRA,LB,27,29,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,17,19,89.5,2,14,0,0,0
Antonio Rüdiger,22,GER,CB,30,90,0,0,0,0,0,0,0,0,55,0,1,1,0.0,0.0,0.0,0,0,40,48,83.3,0,31,0,0,0
Éder Militão,3,BRA,CB,25,90,0,0,0,0,0,0,0,0,57,2,2,4,0.0,0.0,0.0,0,0,35,41,85.4,1,25,0,0,0
Dani Carvajal,2,ESP,RB,31,90,0,0,0,0,0,0,0,0,82,3,0,1,0.0,0.0,0.1,1,0,50,69,72.5,5,32,0,1,1
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,44,0,1,0,0.0,0.0,0.0,0,0,32,38,84.2,0,29,0,0,0
