player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Robert Lewandowski,9,POL,FW,34,90,0,1,0,0,6,2,0,0,35,0,0,2,0.8,0.8,0.6,3,1,12,19,63.2,5,28,1,1,0
Ousmane Dembélé,7,FRA,"LW,RW",25,72,0,0,0,0,1,0,0,0,37,3,0,0,0.1,0.1,0.0,1,0,22,25,88.0,1,29,3,8,5
Ansu Fati,10,ESP,LW,19,18,0,0,0,0,2,0,0,0,12,0,0,0,0.2,0.2,0.2,3,0,10,10,100.0,0,12,2,1,1
Raphinha,22,BRA,RW,25,59,0,0,0,0,2,1,0,0,45,0,0,3,0.1,0.1,0.7,4,0,29,37,78.4,2,30,2,3,2
Ferrán Torres,11,ESP,"RW,LW",22,31,1,0,0,0,1,1,0,0,11,1,0,0,0.6,0.6,0.0,1,0,5,7,71.4,0,8,1,1,0
Pedri,8,ESP,LM,19,82,0,0,0,0,1,0,0,0,66,2,0,1,0.0,0.0,0.0,2,0,47,56,83.9,7,49,1,2,1
Franck Kessié,19,CIV,LM,25,8,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,2,3,0,0,0
Sergio Busquets,5,ESP,CM,34,59,0,0,0,0,0,0,0,0,57,0,2,0,0.0,0.0,0.0,1,0,47,51,92.2,8,43,0,1,0
Gavi,30,ESP,RM,18,31,0,0,0,0,1,0,1,0,12,1,1,0,0.0,0.0,0.1,1,0,6,6,100.0,0,9,0,1,0
Frenkie de Jong,21,NED,"RM,CM",25,90,0,0,0,0,1,1,0,0,55,1,2,1,0.2,0.2,0.0,5,0,45,52,86.5,4,44,4,2,1
Alejandro Balde,28,ESP,LB,18,59,0,0,0,0,0,0,0,0,50,3,1,2,0.0,0.0,0.0,1,0,37,42,88.1,3,32,0,0,0
Jordi Alba,18,ESP,LB,33,31,0,0,0,0,1,0,0,0,24,0,0,0,0.0,0.0,0.0,3,0,20,23,87.0,1,16,2,1,1
Eric García,24,ESP,CB,21,90,0,0,0,0,0,0,0,0,81,1,1,1,0.0,0.0,0.0,0,0,68,76,89.5,8,66,1,0,0
Jules Koundé,23,FRA,CB,23,90,0,0,0,0,0,0,0,0,87,2,0,1,0.0,0.0,0.0,3,0,77,83,92.8,9,71,4,1,1
Sergi Roberto,20,ESP,RB,30,90,0,0,0,0,2,0,0,0,62,0,1,0,0.1,0.1,0.1,4,0,51,57,89.5,4,49,4,1,0
Marc-André ter Stegen,1,GER,GK,30,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,28,28,100.0,0,17,0,0,0
