player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,34,87,1,0,0,0,2,1,0,0,43,0,0,1,0.0,0.0,0.0,1,0,27,34,79.4,2,33,4,0,0
Marco Asensio,11,ESP,FW,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Vinicius Júnior,20,BRA,LW,22,84,0,0,0,0,3,1,1,0,23,0,0,1,0.2,0.2,0.0,3,1,11,14,78.6,3,19,6,1,0
Rodrygo,21,BRA,LW,21,6,1,0,1,1,0,0,0,0,3,0,0,0,0.8,0.0,0.0,1,1,0,2,0.0,0,1,1,0,0
Federico Valverde,15,URU,RW,24,90,1,0,0,0,1,1,0,0,55,2,0,1,0.1,0.1,0.0,3,1,39,48,81.3,4,38,2,0,0
Toni Kroos,8,GER,LM,32,90,0,0,0,0,1,0,0,0,65,3,1,2,0.0,0.0,0.1,2,0,52,59,88.1,5,41,1,2,0
Aurélien Tchouaméni,18,FRA,CM,22,90,0,0,0,0,0,0,0,0,58,1,2,2,0.0,0.0,0.0,1,1,43,50,86.0,4,34,0,1,0
Luka Modrić,10,CRO,RM,37,77,0,0,0,0,0,0,1,0,45,2,0,1,0.0,0.0,0.1,2,0,33,36,91.7,8,34,1,2,1
Eduardo Camavinga,12,FRA,RM,19,13,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,4,1,0,0
Ferland Mendy,23,FRA,LB,27,90,0,1,0,0,0,0,0,0,45,1,1,1,0.0,0.0,0.1,2,1,35,40,87.5,2,29,1,1,1
David Alaba,4,AUT,CB,30,90,0,0,0,0,0,0,0,0,42,1,1,1,0.0,0.0,0.0,0,0,28,34,82.4,0,24,0,0,0
Éder Militão,3,BRA,CB,24,90,0,0,0,0,0,0,0,0,53,2,0,2,0.0,0.0,0.0,0,0,27,37,73.0,1,26,0,1,0
Dani Carvajal,2,ESP,RB,30,87,0,0,0,0,0,0,0,0,58,3,1,2,0.0,0.0,0.0,0,0,37,46,80.4,0,31,0,2,0
Antonio Rüdiger,22,GER,RB,29,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
Andriy Lunin,13,UKR,GK,23,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,32,39,82.1,0,25,0,0,0
