player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
João Félix,7,POR,FW,22,61,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0.0,1,0,10,12,83.3,0,17,0,2,0
Matheus Cunha,9,BRA,FW,23,29,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,1,0,5,6,83.3,0,7,0,0,0
Antoine Griezmann,8,FRA,"FW,LM,RM",31,90,0,0,0,0,1,1,0,0,76,0,2,2,0.1,0.1,0.1,6,0,45,64,70.3,2,53,3,3,1
Koke,6,ESP,CM,30,72,0,0,0,0,0,0,1,0,80,2,0,1,0.0,0.0,0.2,4,0,67,73,91.8,5,64,0,0,0
Ángel Correa,10,ARG,RM,27,18,0,0,0,0,1,0,0,0,15,0,0,0,0.0,0.0,0.0,2,0,9,13,69.2,2,11,2,1,1
Geoffrey Kondogbia,4,CTA,CM,29,80,0,0,0,0,2,0,0,0,72,1,1,0,0.2,0.2,0.0,1,0,62,67,92.5,2,64,1,0,0
Saúl Ñíguez,17,ESP,CM,27,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,4,0,0,0
Rodrigo De Paul,5,ARG,CM,28,61,0,0,0,0,1,1,0,0,48,1,0,1,0.0,0.0,0.2,2,0,37,43,86.0,4,36,6,6,6
Álvaro Morata,19,ESP,FW,29,29,0,0,0,0,0,0,0,0,12,1,0,1,0.0,0.0,0.0,0,0,7,9,77.8,2,6,0,0,0
Yannick Carrasco,21,BEL,"WB,LM",29,71,0,0,0,0,3,1,0,0,30,2,0,1,0.2,0.2,0.0,1,0,18,22,81.8,2,22,3,0,0
Mario Hermoso,22,ESP,CB,27,18,1,0,0,0,1,1,2,1,18,0,0,0,0.4,0.4,0.0,0,0,17,17,100.0,0,13,0,0,0
Marcos Llorente,14,ESP,"WB,RB",27,90,0,0,0,0,0,0,0,0,66,1,3,0,0.0,0.0,0.0,1,0,45,56,80.4,2,44,5,4,1
Reinildo Mandava,23,MOZ,"CB,LB",28,90,0,0,0,0,1,0,1,0,77,1,1,1,0.0,0.0,0.0,0,0,64,74,86.5,4,57,0,1,0
Axel Witsel,20,BEL,"CB,CM",33,90,0,0,0,0,0,0,0,0,65,0,1,0,0.0,0.0,0.0,0,0,63,63,100.0,4,57,1,1,1
Felipe,18,BRA,CB,33,90,0,0,0,0,1,0,0,0,64,2,0,0,0.0,0.0,0.0,1,0,53,56,94.6,9,45,0,2,1
Jan Oblak,13,SVN,GK,29,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,16,21,76.2,0,15,0,0,0
