player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Rodrygo,21,BRA,FW,21,85,1,0,0,0,2,1,0,0,32,1,1,2,0.4,0.4,0.0,2,1,17,19,89.5,3,25,3,2,1
Dani Ceballos,19,ESP,LM,26,5,0,0,0,0,0,0,0,0,10,1,1,1,0.0,0.0,0.0,0,0,4,4,100.0,2,4,0,1,0
Vinicius Júnior,20,BRA,LW,22,90,0,0,0,0,1,1,0,0,32,0,1,0,0.2,0.2,0.0,2,1,17,20,85.0,0,28,1,5,2
Federico Valverde,15,URU,RW,24,90,1,0,0,0,2,1,0,0,51,1,0,0,0.3,0.3,0.0,0,0,36,40,90.0,2,31,1,2,1
Toni Kroos,8,GER,LM,32,85,0,0,0,0,0,0,0,0,74,1,2,2,0.0,0.0,0.0,2,0,61,68,89.7,5,47,0,0,0
Marco Asensio,11,ESP,FW,26,5,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,1,0,1,3,33.3,0,0,0,0,0
Aurélien Tchouaméni,18,FRA,CM,22,90,0,1,0,0,0,0,0,0,61,2,2,1,0.0,0.0,0.4,1,1,43,48,89.6,5,42,0,0,0
Luka Modrić,10,CRO,RM,37,81,0,0,0,0,0,0,0,0,62,0,1,0,0.0,0.0,0.2,2,0,53,58,91.4,5,43,0,1,0
Eduardo Camavinga,12,FRA,RM,19,9,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,1,0,1,3,33.3,0,4,1,1,0
Ferland Mendy,23,FRA,LB,27,74,0,0,0,0,0,0,1,0,51,1,1,2,0.0,0.0,0.0,0,0,39,44,88.6,5,34,1,3,3
Antonio Rüdiger,22,GER,LB,29,16,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,5,7,71.4,1,6,1,0,0
David Alaba,4,AUT,CB,30,90,0,0,0,0,1,0,0,0,57,0,3,0,0.0,0.0,0.0,0,0,47,53,88.7,2,44,0,0,0
Éder Militão,3,BRA,CB,24,90,0,0,0,0,0,0,0,0,59,2,1,1,0.0,0.0,0.0,0,0,50,52,96.2,0,43,1,0,0
Dani Carvajal,2,ESP,RB,30,90,0,0,0,0,0,0,1,0,66,2,3,1,0.0,0.0,0.0,0,0,51,60,85.0,2,28,0,3,3
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,38,45,84.4,0,32,0,0,0
