player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,90,0,0,0,0,4,1,0,0,29,1,0,0,1.0,1.0,0.1,1,0,19,21,90.5,1,12,1,2,0
Vinicius Júnior,20,BRA,LW,22,90,0,0,0,0,2,0,0,0,61,0,0,1,0.1,0.1,0.6,8,0,32,43,74.4,2,52,12,18,6
Marco Asensio,11,ESP,RW,27,62,0,0,0,0,2,1,0,0,53,1,0,0,0.1,0.1,0.0,2,0,37,48,77.1,5,35,4,3,1
Aurélien Tchouaméni,18,FRA,"CM,RM",23,28,0,0,0,0,2,2,0,0,27,0,0,0,0.0,0.0,0.0,0,0,20,22,90.9,3,21,2,0,0
Dani Ceballos,19,ESP,LM,26,62,0,0,0,0,1,0,0,0,68,5,0,1,0.0,0.0,0.0,1,0,53,59,89.8,6,51,1,3,2
Luka Modrić,10,CRO,"LM,CM",37,28,0,1,0,0,0,0,1,0,40,0,0,0,0.0,0.0,0.2,6,1,35,37,94.6,10,29,1,1,1
Toni Kroos,8,GER,CM,33,62,0,0,0,0,0,0,0,0,88,2,2,0,0.0,0.0,0.1,2,0,77,85,90.6,9,64,2,2,2
Eduardo Camavinga,12,FRA,"LB,LM",20,28,0,0,0,0,2,1,0,0,28,2,0,0,0.1,0.1,0.0,3,1,20,23,87.0,9,21,1,2,2
Federico Valverde,15,URU,"RM,RW",24,90,0,0,0,0,2,0,0,0,86,3,3,4,0.1,0.1,0.1,4,0,60,74,81.1,5,43,2,1,1
Nacho,6,ESP,LB,33,76,0,0,0,0,0,0,1,0,45,1,0,0,0.0,0.0,0.0,2,0,37,39,94.9,3,27,1,1,1
Álvaro Muñoz,39,URU,RW,18,14,1,0,0,0,1,1,0,0,2,0,0,0,0.2,0.2,0.0,0,0,1,1,100.0,0,2,0,0,0
Antonio Rüdiger,22,GER,CB,29,90,0,0,0,0,2,1,0,0,70,1,0,1,0.1,0.1,0.0,1,0,56,62,90.3,2,41,1,0,0
Éder Militão,3,BRA,CB,25,90,0,0,0,0,0,0,1,0,87,1,2,0,0.0,0.0,0.0,2,0,69,79,87.3,4,57,3,1,1
Dani Carvajal,2,ESP,RB,31,82,0,0,0,0,0,0,0,0,63,1,0,0,0.0,0.0,0.0,1,0,53,61,86.9,1,38,0,0,0
Lucas Vázquez,17,ESP,RB,31,8,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,5,5,100.0,1,3,0,1,1
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,30,30,100.0,0,17,0,0,0
