player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,34,90,1,0,0,0,4,2,0,0,88,2,0,1,0.5,0.5,0.3,4,1,68,77,88.3,9,68,3,2,2
Vinicius Júnior,20,BRA,LW,22,79,0,0,0,0,2,0,0,0,42,1,1,0,0.1,0.1,0.3,5,1,31,34,91.2,1,45,6,1,1
Eduardo Camavinga,12,FRA,LW,19,11,0,0,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.0,0,0,11,11,100.0,1,10,2,0,0
Rodrygo,21,BRA,RW,21,90,0,2,0,0,1,1,0,0,68,1,0,1,0.3,0.3,0.5,2,2,51,58,87.9,3,55,5,5,3
Luka Modrić,10,CRO,LM,37,61,0,0,0,0,0,0,0,0,78,2,0,0,0.0,0.0,0.0,1,0,66,69,95.7,4,56,0,4,1
Aurélien Tchouaméni,18,FRA,LM,22,29,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,1,33,33,100.0,6,30,2,3,3
Toni Kroos,8,GER,CM,32,79,0,0,0,0,0,0,0,0,111,3,1,2,0.0,0.0,0.0,2,0,93,98,94.9,10,71,1,1,0
Marco Asensio,11,ESP,CM,26,11,1,0,0,0,1,1,0,0,11,0,0,0,0.3,0.3,0.3,1,0,7,10,70.0,1,5,0,0,0
Federico Valverde,15,URU,RM,24,90,1,0,0,0,2,2,0,0,73,1,0,2,0.3,0.3,0.0,0,0,64,66,97.0,2,51,5,1,1
David Alaba,4,AUT,LB,30,87,0,0,0,0,0,0,0,0,60,0,0,1,0.0,0.0,0.0,1,0,52,60,86.7,6,39,0,0,0
Nacho,6,ESP,LB,32,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0
Antonio Rüdiger,22,GER,CB,29,90,0,0,0,0,0,0,1,0,86,0,1,1,0.0,0.0,0.0,1,0,76,77,98.7,4,74,1,0,0
Éder Militão,3,BRA,CB,24,90,0,0,0,0,0,0,0,0,78,2,2,2,0.0,0.0,0.0,1,0,64,67,95.5,6,60,2,0,0
Dani Carvajal,2,ESP,RB,30,87,0,0,0,0,0,0,0,0,75,1,0,1,0.0,0.0,0.0,0,0,61,69,88.4,2,50,1,0,0
Lucas Vázquez,17,ESP,RB,31,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,1,4,0,0,0
Andriy Lunin,13,UKR,GK,23,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,31,33,93.9,0,26,0,0,0
