player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Joselu,9,ESP,FW,32,90,1,0,0,0,5,3,0,0,40,1,1,0,0.5,0.5,0.2,3,1,13,22,59.1,3,15,0,0,0
Javi Puado,7,ESP,LM,24,77,0,0,0,0,3,0,0,0,26,1,0,1,0.3,0.3,0.0,2,0,9,12,75.0,3,15,1,2,0
Nico Ribaudo,21,ESP,LM,21,13,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,0,6,2,0,0
Sergi Darder,10,ESP,CM,28,90,0,0,0,0,2,0,0,0,47,2,0,0,0.1,0.1,0.3,5,0,27,39,69.2,6,22,3,0,0
Edu Expósito,20,ESP,CM,26,88,0,0,0,0,0,0,0,0,49,5,0,0,0.0,0.0,0.0,1,0,31,41,75.6,2,26,2,1,1
Dani Gómez,19,ESP,"FW,CM",24,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0
Rubén,27,ESP,RM,21,90,0,0,0,0,2,0,0,0,32,3,1,3,0.2,0.2,0.0,3,0,14,20,70.0,1,9,1,3,1
Vinicius Souza,12,BRA,DM,23,67,0,0,0,0,1,1,0,0,36,1,1,0,0.0,0.0,0.0,0,0,27,29,93.1,1,14,1,0,0
Keidi Bare,8,ALB,"DM,CM",25,23,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,1,0,12,13,92.3,3,7,0,0,0
Brian Oliván,14,ESP,LB,28,90,0,0,0,0,0,0,0,0,39,1,0,1,0.0,0.0,0.0,2,0,24,33,72.7,5,17,4,1,0
Leandro Cabrera,4,URU,CB,31,90,0,0,0,0,2,0,0,0,49,3,2,3,0.2,0.2,0.0,1,0,25,34,73.5,6,13,1,0,0
Fernando Calero,5,ESP,CB,26,90,0,0,0,0,0,0,0,0,38,2,0,7,0.0,0.0,0.0,1,0,23,29,79.3,2,9,0,0,0
Óscar Gil,2,ESP,RB,25,90,0,0,0,0,0,0,0,0,44,2,1,2,0.0,0.0,0.2,2,0,25,31,80.6,1,22,1,3,1
Benjamin Lecomte,13,FRA,GK,31,89,0,0,0,0,0,0,0,1,30,0,0,0,0.0,0.0,0.1,1,0,16,26,61.5,0,11,0,0,0
