player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,34,90,2,0,0,0,8,4,0,0,63,0,1,2,1.1,1.1,0.0,6,0,40,48,83.3,7,31,4,3,1
Vinicius Júnior,20,BRA,LW,22,90,1,0,0,0,5,2,0,0,57,0,0,0,0.8,0.8,0.1,6,0,32,39,82.1,5,41,6,8,1
Federico Valverde,15,URU,RW,24,57,0,0,0,0,0,0,0,0,39,1,0,0,0.0,0.0,0.2,2,1,25,36,69.4,2,25,2,1,0
Rodrygo,21,BRA,RW,21,33,0,1,0,0,1,0,0,0,15,0,0,0,0.0,0.0,0.7,3,1,11,12,91.7,3,10,2,2,1
Toni Kroos,8,GER,LM,32,79,0,0,0,0,1,0,0,0,92,1,0,0,0.0,0.0,0.1,2,0,73,87,83.9,13,64,1,1,0
Dani Ceballos,19,ESP,LM,26,11,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,3,1,6,6,100.0,0,5,0,0,0
Aurélien Tchouaméni,18,FRA,CM,22,90,0,1,0,0,1,0,0,0,83,0,1,0,0.0,0.0,0.4,5,2,69,74,93.2,11,45,1,1,0
Luka Modrić,10,CRO,RM,36,57,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,0,0,45,50,90.0,7,31,1,0,0
Eduardo Camavinga,12,FRA,RM,19,33,0,0,0,0,1,0,0,0,19,1,0,0,0.1,0.1,0.1,4,0,13,13,100.0,2,11,3,2,1
David Alaba,4,AUT,LB,30,90,0,0,0,0,0,0,0,0,54,1,1,1,0.0,0.0,0.1,2,0,47,52,90.4,4,26,0,0,0
Antonio Rüdiger,22,GER,CB,29,90,0,0,0,0,1,0,0,0,49,1,0,1,0.1,0.1,0.0,0,0,38,40,95.0,2,29,0,0,0
Éder Militão,3,BRA,CB,24,90,0,0,0,0,1,0,0,0,70,1,1,3,0.0,0.0,0.0,1,1,52,57,91.2,2,39,3,2,1
Lucas Vázquez,17,ESP,RB,31,84,0,0,0,0,0,0,0,0,56,1,1,1,0.0,0.0,0.1,3,0,47,51,92.2,2,24,0,0,0
Dani Carvajal,2,ESP,RB,30,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,1,0,0,0
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.1,1,0,29,36,80.6,0,31,0,0,0
