player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Valentín Castellanos,9,ARG,FW,24,71,4,0,0,0,6,5,0,0,11,0,0,0,1.6,1.6,0.0,0,0,2,2,100.0,0,8,1,1,0
Cristhian Stuani,7,URU,FW,36,19,0,0,0,0,0,0,0,0,9,2,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
Rodrigo Riquelme,17,ESP,LM,23,88,0,0,0,0,2,0,0,0,25,0,0,2,0.1,0.1,0.1,2,1,14,19,73.7,1,16,3,1,1
Reinier,19,BRA,LM,21,2,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
Iván Martín,23,ESP,CM,24,89,0,0,0,0,0,0,0,0,34,1,1,1,0.0,0.0,0.4,3,1,24,28,85.7,2,24,0,1,1
Ricard Artero,36,ESP,CM,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Viktor Tsyhankov,8,UKR,CM,25,71,0,0,0,0,3,0,0,0,30,0,0,2,0.3,0.3,0.1,5,0,16,22,72.7,2,20,4,1,1
Valery,11,ESP,CM,23,19,0,0,0,0,1,0,0,0,13,0,1,0,0.3,0.3,0.0,0,0,11,11,100.0,0,5,0,0,0
Yan Couto,20,BRA,RM,20,90,0,1,0,0,1,0,0,0,49,2,0,1,0.1,0.1,0.6,6,2,23,32,71.9,6,37,5,5,2
Oriol Romeu,18,ESP,DM,31,90,0,0,0,0,0,0,0,0,47,4,2,5,0.0,0.0,0.0,1,0,29,31,93.5,0,22,0,1,1
Miguel Gutiérrez,3,ESP,LB,21,88,0,1,0,0,0,0,0,0,47,0,0,3,0.0,0.0,0.5,1,1,25,40,62.5,6,26,5,2,1
Javi,16,ESP,LB,24,2,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,1,0
Juanpe,15,ESP,CB,31,90,0,0,0,0,0,0,0,0,39,3,1,3,0.0,0.0,0.0,0,0,24,28,85.7,0,21,0,0,0
Santiago Bueno,22,URU,CB,24,90,0,0,0,0,0,0,0,0,40,4,0,3,0.0,0.0,0.0,1,1,17,23,73.9,0,17,0,0,0
Arnau Martinez,4,ESP,RB,20,90,0,1,0,0,0,0,1,0,53,8,1,4,0.0,0.0,0.1,2,1,29,36,80.6,2,18,0,1,0
Paulo Gazzaniga,13,ARG,GK,31,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.2,1,0,22,32,68.8,0,15,0,0,0
