player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Vedat Muriqi,7,KVX,FW,28,90,0,0,0,0,1,0,0,0,42,0,0,1,0.0,0.0,0.0,0,0,14,26,53.8,3,22,2,4,3
Lee Kangin,19,KOR,LM,21,77,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,1,0,6,12,50.0,2,14,2,2,1
Antonio Sánchez,10,ESP,RM,26,13,0,0,0,0,1,1,0,0,10,0,1,0,0.0,0.0,0.1,1,0,4,8,50.0,0,6,0,1,1
Iñigo Ruiz de Galarreta,4,ESP,CM,29,89,0,0,0,0,0,0,1,0,29,4,1,3,0.0,0.0,0.0,0,0,15,19,78.9,2,12,0,0,0
Clément Grenier,8,FRA,CM,32,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,0,0,0,0
Iddrisu Baba,12,GHA,CM,27,77,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,0,0,17,19,89.5,1,16,0,3,1
Rodrigo Battaglia,16,ARG,CM,31,13,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,1,3,33.3,0,1,0,0,0
Dani Rodríguez,14,ESP,RM,34,67,0,0,0,0,0,0,0,0,30,2,1,1,0.0,0.0,0.0,1,0,15,20,75.0,1,19,1,2,1
Amath,23,SEN,"LM,RM",26,23,0,0,0,0,1,0,1,0,11,2,0,0,0.1,0.1,0.0,0,0,7,8,87.5,1,3,0,0,0
Jaume Costa,18,ESP,LB,34,90,0,0,0,0,0,0,1,0,29,2,0,0,0.0,0.0,0.0,0,0,15,22,68.2,0,18,3,0,0
Matija Nastasić,2,SRB,CB,29,90,0,0,0,0,0,0,0,0,19,0,2,1,0.0,0.0,0.0,0,0,10,13,76.9,0,4,0,0,0
Antonio Raillo,21,ESP,CB,31,90,0,0,0,0,0,0,1,0,21,2,0,2,0.0,0.0,0.0,0,0,14,15,93.3,1,10,0,0,0
Giovanni González,20,URU,CB,28,90,0,0,0,0,1,0,0,0,19,2,0,1,0.1,0.1,0.0,0,0,10,11,90.9,0,7,0,0,0
Pablo Maffeo,15,ESP,RB,25,90,0,0,0,0,0,0,1,0,42,6,2,0,0.0,0.0,0.0,0,0,19,28,67.9,1,17,2,2,2
Predrag Rajković,1,SRB,GK,27,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,1,0,25,43,58.1,0,14,0,0,0
