player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Sergio Camello,34,ESP,FW,21,87,0,0,0,0,3,1,0,0,23,1,0,0,0.2,0.2,0.0,1,0,11,13,84.6,0,11,0,2,1
Radamel Falcao,9,COL,FW,36,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0
Álvaro García,18,ESP,LW,30,87,1,0,0,0,2,2,0,0,32,1,3,0,0.2,0.2,0.0,3,1,15,21,71.4,4,16,2,0,0
Salvi,14,ESP,RW,31,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0
Isaac Palazón Camacho,7,ESP,RW,27,87,0,1,0,0,3,1,0,0,59,2,0,0,0.1,0.1,0.1,3,1,39,48,81.3,5,37,0,2,1
Pep Chavarría,15,ESP,LW,24,3,0,0,0,0,0,0,1,0,9,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,0,1,0
Óscar Trejo,8,ARG,AM,34,70,1,0,1,1,1,0,1,0,44,1,0,1,0.8,0.0,0.1,4,1,28,33,84.8,4,26,1,3,0
Unai López,17,ESP,AM,27,20,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.1,2,0,15,16,93.8,3,12,1,0,0
Óscar Valentín,23,ESP,DM,28,90,0,0,0,0,1,0,0,0,50,3,4,2,0.0,0.0,0.0,2,0,30,39,76.9,4,30,0,0,0
Santi Comesaña,6,ESP,DM,26,78,1,0,0,0,2,1,0,0,38,2,1,2,0.2,0.2,0.1,6,0,25,29,86.2,7,26,0,1,0
Pathé Ciss,21,SEN,DM,28,12,0,0,0,0,0,0,0,0,9,1,0,1,0.0,0.0,0.0,1,0,5,6,83.3,1,5,0,0,0
Fran Garcia,3,ESP,LB,23,90,0,1,0,0,1,0,0,0,50,1,0,1,0.0,0.0,0.2,2,1,33,43,76.7,5,34,6,1,1
Catena,5,ESP,CB,28,90,0,0,0,0,0,0,1,0,42,0,0,0,0.0,0.0,0.0,0,0,32,38,84.2,4,21,0,0,0
Florian Lejeune,19,FRA,CB,31,90,0,0,0,0,1,1,0,0,43,0,1,1,0.0,0.0,0.0,1,0,31,38,81.6,2,25,0,0,0
Iván Balliu,20,ALB,RB,30,90,0,0,0,0,0,0,1,0,58,2,0,1,0.0,0.0,0.0,2,0,41,53,77.4,2,32,1,0,0
Stole Dimitrievski,1,MKD,GK,28,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,12,24,50.0,0,11,0,0,0
