player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Borja Iglesias,9,ESP,FW,30,70,0,0,0,0,2,1,1,0,23,0,0,0,0.3,0.3,0.0,1,0,12,15,80.0,0,20,0,1,0
Willian José,12,BRA,FW,31,20,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,6,0,0,0
Ayoze Pérez,21,ESP,LW,29,70,0,0,0,0,1,1,0,0,35,3,1,3,0.0,0.0,0.0,0,0,17,21,81.0,0,20,0,6,1
Luiz Henrique,11,BRA,RW,22,20,0,0,0,0,1,0,0,0,14,2,0,1,0.0,0.0,0.0,0,0,6,8,75.0,1,7,2,1,1
Aitor Ruibal,24,ESP,"RW,LW",26,86,0,0,0,0,2,2,0,0,48,4,0,1,0.0,0.0,0.0,4,0,28,37,75.7,3,37,2,8,6
Joaquín,17,ESP,LW,41,4,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,1,0
Rodrigo,28,ESP,AM,22,90,0,0,0,0,0,0,0,0,59,1,1,0,0.0,0.0,0.0,2,0,45,53,84.9,9,52,3,2,1
William Carvalho,14,POR,DM,30,79,0,0,0,0,0,0,1,0,53,0,0,0,0.0,0.0,0.0,0,0,46,52,88.5,3,41,0,1,1
Andrés Guardado,18,MEX,DM,36,11,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,7,8,87.5,1,8,1,0,0
Guido Rodríguez,5,ARG,DM,28,90,0,0,0,0,0,0,0,0,63,3,0,4,0.0,0.0,0.0,1,0,51,54,94.4,3,40,1,2,2
Juan Miranda,33,ESP,LB,23,86,0,0,0,0,0,0,0,0,56,0,2,0,0.0,0.0,0.3,3,0,35,50,70.0,7,30,3,2,0
Abner,20,BRA,LB,22,4,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,3,4,75.0,0,4,1,0,0
Luiz Felipe,19,ITA,CB,25,90,0,0,0,0,0,0,0,0,45,0,2,1,0.0,0.0,0.0,0,0,26,33,78.8,1,25,0,0,0
Germán Pezzella,16,ARG,CB,31,90,0,0,0,0,1,0,0,0,32,4,1,2,0.0,0.0,0.0,0,0,11,14,78.6,1,10,0,0,0
Youssouf Sabaly,23,SEN,RB,30,90,0,0,0,0,1,0,1,0,58,3,4,0,0.0,0.0,0.0,1,0,37,40,92.5,5,29,4,3,3
Claudio Bravo,1,CHI,GK,39,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,1,0,18,30,60.0,0,13,0,0,0
