player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,90,0,0,0,0,5,1,0,0,55,0,0,0,0.3,0.3,0.0,3,0,42,48,87.5,8,39,6,0,0
Rodrygo,21,BRA,FW,22,90,0,0,0,0,2,0,1,0,76,1,1,1,0.5,0.5,0.0,6,0,56,67,83.6,9,63,7,8,6
Vinicius Júnior,20,BRA,LM,22,90,0,0,0,0,2,1,1,0,47,0,0,0,0.2,0.2,0.1,5,0,20,27,74.1,2,40,7,13,5
Toni Kroos,8,GER,CM,33,86,0,0,0,0,0,0,0,0,88,0,0,1,0.0,0.0,0.1,4,0,75,82,91.5,11,57,0,1,0
Álvaro Muñoz,39,URU,CM,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Aurélien Tchouaméni,18,FRA,CM,23,63,0,0,0,0,1,0,0,0,70,2,2,1,0.1,0.1,0.0,0,0,56,61,91.8,5,45,2,2,2
Dani Ceballos,19,ESP,CM,26,27,0,0,0,0,1,0,0,0,42,1,2,1,0.2,0.2,0.0,2,0,31,39,79.5,9,33,5,2,2
Federico Valverde,15,URU,RM,24,90,0,0,0,0,2,1,0,0,80,3,0,1,0.0,0.0,0.5,3,0,61,74,82.4,7,55,4,4,4
Eduardo Camavinga,12,FRA,LB,20,62,0,0,0,0,0,0,1,0,56,2,0,1,0.0,0.0,0.2,1,0,49,51,96.1,1,33,2,3,2
Nacho,6,ESP,LB,33,28,0,0,0,0,1,1,0,0,19,0,0,0,0.0,0.0,0.0,0,0,16,17,94.1,3,11,0,0,0
Antonio Rüdiger,22,GER,CB,30,90,0,0,0,0,0,0,0,0,64,1,1,0,0.0,0.0,0.0,0,0,57,58,98.3,2,42,1,0,0
Éder Militão,3,BRA,CB,25,90,0,0,0,0,1,1,1,0,73,3,4,2,0.1,0.1,0.0,1,0,54,62,87.1,8,47,0,0,0
Lucas Vázquez,17,ESP,RB,31,58,0,0,0,0,0,0,0,0,74,4,0,1,0.0,0.0,0.1,2,0,53,67,79.1,4,49,1,2,2
Dani Carvajal,2,ESP,RB,31,32,0,0,0,0,0,0,0,0,34,1,1,0,0.0,0.0,0.2,3,0,23,30,76.7,2,21,1,0,0
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,33,36,91.7,0,27,0,0,0
