player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,90,3,0,1,1,5,3,0,0,64,1,0,1,2.0,1.2,0.6,5,1,46,54,85.2,8,38,3,1,1
Vinicius Júnior,20,BRA,LW,22,81,0,1,0,0,1,1,1,0,53,0,0,1,0.0,0.0,1.0,3,2,27,38,71.1,2,41,9,9,3
Dani Carvajal,2,ESP,RB,31,9,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.1,1,0,10,13,76.9,1,11,2,0,0
Rodrygo,21,BRA,RW,22,71,1,1,0,0,3,1,0,0,38,1,0,0,0.6,0.6,0.1,2,2,27,29,93.1,3,29,1,5,3
Marco Asensio,11,ESP,RW,27,19,0,0,0,0,3,1,0,0,15,0,0,0,0.2,0.2,0.0,1,0,12,13,92.3,0,11,1,0,0
Toni Kroos,8,GER,LM,33,71,0,0,0,0,0,0,0,0,86,2,1,0,0.0,0.0,0.0,3,0,75,83,90.4,12,63,1,0,0
Nacho,6,ESP,LB,33,19,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,16,16,100.0,1,12,0,1,0
Aurélien Tchouaméni,18,FRA,CM,23,90,0,0,0,0,0,0,0,0,84,2,3,1,0.0,0.0,0.0,2,0,74,77,96.1,4,56,2,2,2
Dani Ceballos,19,ESP,RM,26,90,0,1,0,0,2,1,0,0,91,2,2,0,0.1,0.1,0.1,5,1,73,81,90.1,11,69,2,7,4
Eduardo Camavinga,12,FRA,"LB,LM",20,90,0,0,0,0,0,0,1,0,84,1,1,0,0.0,0.0,0.1,2,1,73,79,92.4,8,60,5,0,0
Antonio Rüdiger,22,GER,CB,30,90,0,0,0,0,0,0,0,0,71,3,1,2,0.0,0.0,0.0,0,0,61,64,95.3,4,47,1,0,0
Éder Militão,3,BRA,CB,25,90,0,0,0,0,0,0,0,0,76,1,2,2,0.0,0.0,0.0,1,0,61,69,88.4,4,59,0,0,0
Lucas Vázquez,17,ESP,"RB,LW",31,90,0,0,0,0,0,0,0,0,85,1,0,1,0.0,0.0,0.0,2,1,69,82,84.1,4,60,5,2,1
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,29,29,100.0,0,20,0,0,0
