minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
5,Karim Benzema,Real Madrid,0.90,0.88,Goal,4,Left Foot,,Vinicius Júnior,Pass (Live),Vinicius Júnior,Take-On
9,Karim Benzema,Real Madrid,0.07,0.04,Saved,16,Right Foot,,Vinicius Júnior,Pass (Live),Karim Benzema,Pass (Live)
13,Rodrygo,Real Madrid,0.07,,Blocked,24,Right Foot,Free kick,Dani Ceballos,Fouled,Dani Ceballos,Pass (Live)
14,Vinicius Júnior,Real Madrid,0.02,0.01,Saved,20,Right Foot,,Toni Kroos,Pass (Dead),Dani Ceballos,Fouled
17,Karim Benzema,Real Madrid,0.10,0.69,Goal,9,Right Foot,,Rodrygo,Pass (Live),Rodrygo,Take-On
42,Karim Benzema (pen),Real Madrid,0.79,1.00,Goal,13,Right Foot,,Lucas Vázquez,Fouled,Karim Benzema,Pass (Live)
48,Rodrygo,Real Madrid,0.07,0.11,Goal,25,Right Foot,,Dani Ceballos,Pass (Live),Eduardo Camavinga,Pass (Live)
56,Dani Ceballos,Real Madrid,0.02,,Off Target,24,Left Foot,Volley,Toni Kroos,Pass (Dead),,
65,Rodrygo,Real Madrid,0.44,,Off Target,11,Right Foot,,Karim Benzema,Pass (Live),Toni Kroos,Pass (Live)
78,Marco Asensio,Real Madrid,0.02,0.07,Saved,30,Left Foot,,Lucas Vázquez,Pass (Live),Dani Ceballos,Pass (Live)
85,Karim Benzema,Real Madrid,0.07,,Blocked,20,Right Foot,,Dani Carvajal,Pass (Live),Éder Militão,Pass (Live)
86,Dani Ceballos,Real Madrid,0.07,0.07,Saved,24,Right Foot,,Karim Benzema,Pass (Live),Aurélien Tchouaméni,Pass (Live)
86,Karim Benzema,Real Madrid,0.06,,Blocked,16,Right Foot,,Eduardo Camavinga,Pass (Live),Marco Asensio,Pass (Live)
90,Marco Asensio,Real Madrid,0.10,,Woodwork,12,Right Foot,,Karim Benzema,Pass (Live),Aurélien Tchouaméni,Pass (Live)
90+4,Marco Asensio,Real Madrid,0.02,,Woodwork,26,Left Foot,,,,,
