player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Gorka Guruzeta,12,ESP,FW,26,76,0,0,0,0,1,1,0,0,30,2,0,2,0.2,0.2,0.0,1,0,16,23,69.6,3,11,2,1,1
Raúl García,22,ESP,AM,36,14,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,4,1,0,0
Nico Williams,11,ESP,LW,20,63,0,0,0,0,1,0,0,0,32,2,0,0,0.1,0.1,0.0,6,0,14,20,70.0,4,13,3,10,6
Álex Berenguer,7,ESP,"RW,LW",27,27,0,0,0,0,2,0,0,0,13,1,0,0,0.1,0.1,0.0,1,0,7,9,77.8,2,7,2,1,1
Iñaki Williams,9,GHA,"RW,FW",28,90,0,0,0,0,5,3,0,0,43,1,0,2,0.7,0.7,0.0,2,0,18,27,66.7,1,26,10,4,2
Oihan Sancet,8,ESP,AM,23,76,1,0,0,0,3,2,1,0,27,1,0,0,0.5,0.5,0.7,2,1,18,20,90.0,5,21,2,2,1
Iker Muniain,10,ESP,LW,30,14,0,0,0,0,1,1,0,0,14,2,0,0,0.0,0.0,0.0,0,0,6,11,54.5,1,7,1,1,1
Mikel Vesga,6,ESP,DM,30,66,0,0,0,1,0,0,0,0,40,4,1,2,0.8,0.0,0.0,1,0,28,31,90.3,5,14,1,0,0
Unai Vencedor Paris,16,ESP,DM,22,24,0,0,0,0,0,0,0,0,17,0,0,1,0.0,0.0,0.1,1,0,14,15,93.3,1,7,0,1,1
Ander Herrera,23,ESP,DM,33,63,0,0,0,0,0,0,0,0,49,2,1,2,0.0,0.0,0.0,2,0,36,45,80.0,4,21,0,1,0
Oier Zarraga,19,ESP,DM,24,27,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
Yuri Berchiche,17,ESP,LB,33,90,0,0,0,0,1,1,1,0,66,2,0,0,0.0,0.0,0.0,4,0,47,55,85.5,5,26,1,5,1
Aitor Paredes,31,ESP,CB,23,90,0,0,0,0,0,0,0,0,43,0,0,2,0.0,0.0,0.0,1,0,32,35,91.4,1,21,0,0,0
Daniel Vivian,3,ESP,CB,23,90,0,0,0,0,0,0,0,0,37,4,1,2,0.0,0.0,0.0,1,0,17,23,73.9,2,13,0,0,0
Óscar de Marcos,18,ESP,RB,34,90,0,0,0,0,0,0,0,0,50,3,0,2,0.0,0.0,0.1,2,0,30,42,71.4,2,16,2,0,0
Unai Simón,1,ESP,GK,25,90,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,14,21,66.7,0,12,0,0,0
