player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,73,1,0,1,1,1,0,0,0,44,0,0,0,0.9,0.1,0.0,1,0,33,36,91.7,5,30,1,0,0
Luka Modrić,10,CRO,LM,37,17,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,4,11,1,1,0
Vinicius Júnior,20,BRA,LW,22,90,0,0,0,0,1,1,0,0,50,0,0,0,0.1,0.1,0.3,3,0,24,33,72.7,3,35,5,11,4
Rodrygo,21,BRA,"RW,FW",22,90,0,0,0,0,3,0,0,0,63,1,0,2,0.5,0.5,0.1,4,1,40,49,81.6,3,50,5,5,1
Dani Ceballos,19,ESP,LM,26,57,0,0,0,0,0,0,1,0,62,2,1,0,0.0,0.0,0.1,2,0,52,58,89.7,10,47,3,2,2
Marco Asensio,11,ESP,"RW,LM",27,32,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,1,9,1,0,0
Lucas Vázquez,17,ESP,RW,31,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
Toni Kroos,8,GER,CM,33,90,0,0,0,0,1,0,0,0,112,5,1,1,0.0,0.0,0.2,3,0,95,106,89.6,20,90,2,1,0
Eduardo Camavinga,12,FRA,RM,20,57,0,0,0,0,0,0,0,0,57,3,0,1,0.0,0.0,0.0,0,0,43,48,89.6,4,43,4,2,0
Aurélien Tchouaméni,18,FRA,RM,23,33,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,0,0,14,16,87.5,0,14,1,1,0
Antonio Rüdiger,22,GER,LB,30,90,0,0,0,0,1,0,0,0,79,0,0,1,0.1,0.1,0.0,0,0,64,70,91.4,2,47,1,0,0
Nacho,6,ESP,CB,33,90,0,0,0,0,0,0,0,0,86,0,1,3,0.0,0.0,0.0,1,0,77,79,97.5,0,57,1,0,0
Éder Militão,3,BRA,CB,25,90,0,0,0,0,0,0,0,0,78,5,1,2,0.0,0.0,0.0,2,1,61,65,93.8,5,54,0,0,0
Dani Carvajal,2,ESP,RB,31,90,0,0,0,0,1,0,1,0,75,2,0,2,0.1,0.1,0.0,0,0,55,63,87.3,3,48,2,1,0
Thibaut Courtois,1,BEL,GK,31,90,0,0,0,0,0,0,0,0,45,0,1,0,0.0,0.0,0.0,0,0,33,35,94.3,0,28,0,0,0
