player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Anthony Lozano,9,HON,FW,29,71,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.1,1,0,7,11,63.6,2,13,0,3,0
Lucas Pérez,15,ESP,FW,34,19,1,0,0,0,1,1,0,0,17,0,0,0,0.3,0.3,0.0,1,0,14,16,87.5,1,10,0,0,0
Álex Fernández,8,ESP,FW,30,90,0,0,0,0,0,0,0,0,46,0,0,1,0.0,0.0,0.0,1,0,35,42,83.3,3,30,2,0,0
Rubén Sobrino,7,ESP,"LM,CM",30,77,0,0,0,0,1,1,1,0,27,1,1,1,0.1,0.1,0.0,0,0,15,19,78.9,1,16,1,0,0
Álvaro Negredo,18,ESP,CM,37,13,0,0,0,0,2,2,0,0,7,0,0,0,0.2,0.2,0.3,2,1,3,5,60.0,1,5,0,0,0
Rubén Alcaraz,4,ESP,CM,31,55,0,0,0,0,0,0,0,0,24,1,1,2,0.0,0.0,0.0,0,0,14,18,77.8,1,14,0,0,0
Brian Ocampo,14,URU,LM,23,35,0,0,0,0,1,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,10,13,76.9,0,15,1,1,0
Fede San Emeterio,24,ESP,"CM,CB",25,90,0,0,0,0,0,0,0,0,38,1,1,2,0.0,0.0,0.0,0,0,27,32,84.4,1,20,0,0,0
Iván Alejo,11,ESP,RM,27,55,0,0,0,0,1,0,1,0,15,0,0,1,0.0,0.0,0.0,4,0,5,9,55.6,0,11,2,1,0
Theo Bongonda,10,COD,RM,26,35,0,0,0,0,1,1,0,0,13,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,1,9,3,2,0
Alfonso Espino,22,URU,LB,30,90,0,0,0,0,2,0,0,0,52,1,1,4,0.3,0.3,0.0,2,0,28,39,71.8,3,25,2,3,1
Cala,16,ESP,CB,32,72,0,0,0,0,0,0,0,0,28,0,1,1,0.0,0.0,0.0,0,0,18,21,85.7,1,10,0,0,0
José Mari,6,ESP,CM,34,18,0,0,0,0,0,0,0,0,27,2,0,0,0.0,0.0,0.0,2,0,24,26,92.3,2,20,0,0,0
Fali,3,ESP,CB,29,90,0,0,0,0,1,0,1,0,42,0,1,1,0.0,0.0,0.0,1,0,23,34,67.6,4,22,1,0,0
Isaac Carcelen,20,ESP,RB,29,90,0,0,0,0,0,0,0,0,46,4,0,2,0.0,0.0,0.0,0,0,32,38,84.2,3,16,3,0,0
Jeremías Ledesma,1,ARG,GK,29,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,1,0,23,37,62.2,0,20,0,1,1
