minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
2,Aurélien Tchouaméni,Real Madrid,0.01,,Off Target,31,Right Foot,,Ferland Mendy,Pass (Live),Vinicius Júnior,Pass (Live)
5,Rodrygo,Real Madrid,0.04,0.06,Saved,19,Right Foot,,Vinicius Júnior,Pass (Live),Rodrygo,Pass (Live)
9,Luka Modrić,Real Madrid,0.01,,Off Target,30,Right Foot,,Aurélien Tchouaméni,Pass (Live),Rodrygo,Pass (Live)
18,Toni Kroos,Real Madrid,0.03,,Off Target,26,Right Foot,Volley,Federico Valverde,Pass (Live),Luka Modrić,Pass (Live)
25,Aurélien Tchouaméni,Real Madrid,0.03,,Off Target,25,Right Foot,,Toni Kroos,Pass (Live),Vinicius Júnior,Pass (Live)
28,Federico Valverde,Real Madrid,0.03,,Off Target,24,Right Foot,,Toni Kroos,Pass (Live),Toni Kroos,Tackle
30,Rodrygo,Real Madrid,0.05,0.07,Saved,13,Right Foot,Deflected,Lucas Vázquez,Pass (Live),Thibaut Courtois,Pass (Dead)
40,Éder Militão,Real Madrid,0.22,0.17,Goal,10,Head,,Toni Kroos,Pass (Live),Luka Modrić,Pass (Live)
48,Lucas Vázquez,Real Madrid,0.05,,Off Target,14,Right Foot,,Federico Valverde,Pass (Live),,
54,Federico Valverde,Real Madrid,0.31,,Blocked,16,Right Foot,,Lucas Vázquez,Pass (Live),Federico Valverde,Pass (Live)
56,Éder Militão,Real Madrid,0.10,,Off Target,9,Head,,Toni Kroos,Pass (Dead),Vinicius Júnior,Fouled
63,Rodrygo,Real Madrid,0.04,,Off Target,17,Right Foot,,Lucas Vázquez,Pass (Live),Aurélien Tchouaméni,Pass (Live)
68,Luka Modrić,Real Madrid,0.07,,Blocked,26,Left Foot,,Ferland Mendy,Pass (Live),Vinicius Júnior,Pass (Live)
70,Toni Kroos,Real Madrid,0.02,0.17,Goal,24,Right Foot,Volley,Toni Kroos,Pass (Live),Éder Militão,Pass (Live)
77,Vinicius Júnior,Real Madrid,0.04,0.16,Saved,23,Right Foot,,Luka Modrić,Pass (Live),Aurélien Tchouaméni,Pass (Live)
79,Luka Modrić,Real Madrid,0.86,,Off Target,8,Right Foot,,Vinicius Júnior,Pass (Live),Vinicius Júnior,Take-On
83,Dani Ceballos,Real Madrid,0.04,,Blocked,21,Right Foot,,Federico Valverde,Pass (Live),Aurélien Tchouaméni,Pass (Live)
90+4,Federico Valverde,Real Madrid,0.03,,Off Target,29,Right Foot,,Nacho,Pass (Live),,
