player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Haris Seferović,22,SUI,FW,31,62,0,0,0,0,1,0,0,0,16,0,0,1,0.1,0.1,0.0,0,0,10,13,76.9,2,7,0,0,0
Óscar Rodríguez Arnaiz,5,ESP,CM,24,28,0,0,0,0,1,0,0,0,22,1,0,0,0.0,0.0,0.5,3,0,18,20,90.0,8,18,1,0,0
Iago Aspas,10,ESP,FW,35,90,0,0,0,0,3,2,0,0,46,0,1,0,0.5,0.5,0.1,6,0,25,39,64.1,5,36,4,1,1
Luca de la Torre,23,USA,"RM,LM",24,90,0,0,0,0,2,0,0,0,46,1,0,2,0.1,0.1,0.0,1,0,25,31,80.6,1,33,3,1,0
Fran Beltrán,8,ESP,CM,24,90,0,0,0,0,0,0,0,0,61,0,3,1,0.0,0.0,0.0,1,0,50,54,92.6,2,50,0,0,0
Gabriel Veiga,24,ESP,CM,20,62,0,0,0,0,3,0,0,0,36,4,1,0,0.1,0.1,0.0,2,0,17,22,77.3,4,22,1,5,2
Gonçalo Paciência,9,POR,FW,28,28,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,6,9,66.7,0,9,1,1,0
Augusto Solari,21,ARG,RM,31,45,0,0,0,0,0,0,0,0,24,3,0,1,0.0,0.0,0.0,1,0,10,15,66.7,1,14,1,4,1
Franco Cervi,11,ARG,"LM,LB",28,45,0,0,0,0,0,0,0,0,28,1,1,1,0.0,0.0,0.0,1,0,16,25,64.0,1,18,1,0,0
Javi Galán,17,ESP,LB,28,72,0,0,0,0,0,0,1,0,47,0,1,0,0.0,0.0,0.2,4,0,40,45,88.9,9,35,2,0,0
Williot Swedberg,19,SWE,LM,19,18,0,0,0,0,0,0,0,0,8,2,0,2,0.0,0.0,0.0,0,0,1,2,50.0,1,2,1,1,1
Unai Núñez,4,ESP,CB,26,90,0,0,0,0,1,0,0,0,44,1,1,2,0.0,0.0,0.0,1,0,30,37,81.1,1,29,0,0,0
Renato Tapia,14,PER,CB,27,90,0,0,0,0,0,0,0,0,40,4,0,3,0.0,0.0,0.0,0,0,22,26,84.6,3,24,0,1,1
Kevin Vázquez,20,ESP,RB,30,77,0,0,0,0,0,0,1,0,52,2,2,2,0.0,0.0,0.0,0,0,30,42,71.4,2,24,1,1,1
Fernando Medrano,36,ESP,RB,23,13,0,0,0,0,0,0,0,0,6,2,1,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,0,0,0
Iván Villar,13,ESP,GK,25,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,16,22,72.7,0,11,0,0,0
