player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Borja Mayoral,19,ESP,FW,26,64,0,0,0,0,1,0,0,0,21,0,0,0,0.3,0.3,0.0,1,0,15,17,88.2,1,20,1,2,0
Ángel Algobia,16,ESP,"CM,LM,FW",23,26,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,3,0,0,0
Jaime Mata,7,ESP,LW,34,65,0,0,0,0,0,0,1,0,29,0,1,2,0.0,0.0,0.1,2,0,11,21,52.4,1,19,1,0,0
Fabrizio Angileri,3,ARG,"LB,LW",29,25,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,7,0,1,1
Portu,9,ESP,RW,30,64,0,0,0,0,0,0,0,0,20,0,1,2,0.0,0.0,0.2,2,0,9,15,60.0,0,14,2,0,0
Munir El Haddadi,17,MAR,"FW,RW",27,26,0,0,0,0,1,1,0,0,3,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,3,0,1,1
Nemanja Maksimović,20,SRB,"LM,LW",28,90,0,0,0,0,1,0,0,0,24,1,0,2,0.0,0.0,0.0,0,0,15,18,83.3,2,14,1,0,0
Djené,2,TOG,"CM,RB",31,90,0,0,0,0,0,0,0,0,37,2,3,0,0.0,0.0,0.0,1,0,22,26,84.6,2,20,0,2,1
Carles Aleñá,11,ESP,"RM,CM",25,73,0,0,0,0,2,0,0,0,33,0,0,0,0.2,0.2,0.3,2,0,19,30,63.3,2,22,1,1,1
Jaime Seoane,8,ESP,RW,26,17,0,0,0,0,0,0,1,0,6,0,0,1,0.0,0.0,0.0,0,0,3,4,75.0,0,3,1,0,0
Gastón Álvarez,4,URU,"LB,CM,CB",23,83,0,0,0,0,1,0,0,0,30,0,0,2,0.0,0.0,0.0,1,0,17,24,70.8,1,11,1,0,0
Jordan Amavi,12,FRA,LW,29,7,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0
Omar Alderete,15,PAR,CB,26,90,0,0,0,0,0,0,1,0,43,2,1,1,0.0,0.0,0.0,2,0,22,35,62.9,7,24,0,1,1
Stefan Mitrović,23,SRB,CB,32,90,0,0,0,0,0,0,0,0,27,2,1,3,0.0,0.0,0.0,1,0,15,19,78.9,0,16,0,0,0
Iglesias,21,ESP,"RB,RM",24,90,0,0,0,0,3,1,1,0,48,3,2,2,0.1,0.1,0.0,1,0,27,35,77.1,3,22,1,1,1
David Soria,13,ESP,GK,30,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,8,25,32.0,0,11,0,0,0
