player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Rodrygo,21,BRA,FW,21,90,0,0,0,0,7,3,0,0,48,2,0,1,1.3,1.3,0.2,5,0,27,32,84.4,3,31,3,1,1
Vinicius Júnior,20,BRA,LW,22,90,1,0,0,0,2,1,0,0,59,1,0,2,1.0,1.0,0.0,4,0,38,46,82.6,3,41,4,5,3
Federico Valverde,15,URU,RW,24,85,0,1,0,0,3,1,0,0,62,0,0,0,0.1,0.1,0.9,3,1,50,56,89.3,8,45,4,2,0
Mariano,24,DOM,RW,29,5,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.4,1,0,1,3,33.3,0,3,1,0,0
Toni Kroos,8,GER,LM,32,89,0,0,0,0,0,0,2,1,106,1,0,0,0.0,0.0,0.0,6,0,97,105,92.4,20,75,6,0,0
Eduardo Camavinga,12,FRA,CM,19,60,0,0,0,0,2,0,0,0,69,3,1,0,0.0,0.0,0.0,2,0,55,59,93.2,9,51,1,2,1
Marco Asensio,11,ESP,CM,26,30,0,0,0,0,1,1,0,0,16,1,0,0,0.2,0.2,0.0,1,0,10,12,83.3,1,11,0,0,0
Luka Modrić,10,CRO,RM,37,90,0,0,0,0,2,0,1,0,84,1,0,0,0.2,0.2,0.2,7,0,70,80,87.5,12,58,4,3,1
Ferland Mendy,23,FRA,LB,27,86,0,0,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.0,0,0,51,53,96.2,3,34,1,2,2
Éder Militão,3,BRA,LB,24,4,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,11,13,84.6,2,8,0,1,0
David Alaba,4,AUT,CB,30,90,0,0,0,0,0,0,0,0,71,0,1,0,0.0,0.0,0.0,0,0,64,68,94.1,1,48,1,0,0
Antonio Rüdiger,22,GER,CB,29,90,0,0,0,0,1,0,0,0,66,1,0,0,0.0,0.0,0.0,0,0,56,60,93.3,1,43,0,0,0
Dani Carvajal,2,ESP,RB,30,90,0,0,0,0,1,0,0,0,73,3,2,2,0.0,0.0,0.2,5,0,54,64,84.4,3,42,1,0,0
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,17,0,0,0
