player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Kike,18,ESP,FW,32,81,1,0,0,0,2,1,1,0,21,0,0,0,0.2,0.2,0.1,2,0,15,16,93.8,3,11,2,1,1
Ante Budimir,17,CRO,FW,31,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,2,0,0,0
Abdessamad Ezzalzouli,12,MAR,LM,20,68,0,0,0,0,2,0,1,0,31,3,0,1,0.2,0.2,0.0,2,0,15,22,68.2,2,19,3,2,2
Rubén Peña,15,ESP,"RB,RM",31,22,0,0,0,0,0,0,0,0,6,1,0,2,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,1,0
Darko Brašanac,8,SRB,CM,30,68,0,0,0,0,0,0,0,0,27,1,1,1,0.0,0.0,0.0,2,0,19,23,82.6,4,9,1,0,0
Aimar Oroz,22,ESP,"CM,LM",20,22,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,2,6,33.3,0,4,0,1,1
Jon Moncayola,7,ESP,CM,24,81,0,0,0,0,1,1,0,0,51,0,0,4,0.1,0.1,0.0,2,0,31,38,81.6,0,17,1,1,1
Manuel Sánchez,20,ESP,LB,22,9,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,1,1,0,0,0
Moi Gómez,16,ESP,"RM,CM,LM",28,90,0,0,0,0,1,0,0,0,49,0,0,0,0.0,0.0,0.2,6,1,41,47,87.2,2,30,2,0,0
Lucas Torró,6,ESP,"DM,CM,CB",28,90,0,0,0,0,0,0,0,0,53,1,2,0,0.0,0.0,0.0,0,0,38,42,90.5,2,17,0,1,0
Juan Cruz Armada,3,ESP,"LB,CB",30,90,0,0,0,0,0,0,0,0,43,1,0,1,0.0,0.0,0.0,0,0,27,38,71.1,3,22,2,2,0
David García,5,ESP,CB,28,77,0,0,0,0,1,0,0,1,45,2,0,0,0.0,0.0,0.0,0,0,31,34,91.2,4,20,0,0,0
Unai García,4,ESP,CB,30,90,0,1,0,0,0,0,0,0,40,2,2,2,0.0,0.0,0.0,1,1,20,25,80.0,1,13,0,0,0
Nacho Vidal,2,ESP,RB,27,81,0,0,0,0,1,0,0,0,49,3,4,1,0.1,0.1,0.0,0,0,23,31,74.2,1,14,0,0,0
Aridane Hernández,23,EQG,CB,33,9,0,0,0,0,0,0,0,0,4,0,0,2,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
Sergio Herrera,1,ESP,GK,29,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,27,41,65.9,0,13,0,0,0
