player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,34,90,0,0,0,0,4,0,0,0,58,0,0,0,1.0,1.0,0.2,8,0,46,51,90.2,7,36,3,2,0
Vinicius Júnior,20,BRA,LW,22,90,1,0,0,0,4,1,0,0,64,3,0,0,0.7,0.7,0.1,4,0,36,46,78.3,3,45,6,7,1
Rodrygo,21,BRA,RW,21,79,1,0,0,0,3,1,0,0,30,2,0,0,0.5,0.5,0.4,6,0,13,19,68.4,1,22,3,3,1
Dani Ceballos,19,ESP,RM,26,11,0,0,0,0,0,0,0,0,15,1,1,0,0.0,0.0,0.0,1,0,13,13,100.0,1,11,0,0,0
Eduardo Camavinga,12,FRA,LM,19,62,0,0,0,0,0,0,0,0,49,1,0,3,0.0,0.0,0.1,5,0,36,38,94.7,12,32,3,4,1
Federico Valverde,15,URU,"RM,RW",24,28,0,1,0,0,1,0,0,0,28,0,1,0,0.0,0.0,0.4,1,1,24,26,92.3,2,21,2,0,0
Aurélien Tchouaméni,18,FRA,CM,22,90,0,0,0,0,2,1,0,0,84,7,3,3,0.1,0.1,0.0,3,0,58,66,87.9,11,56,2,2,1
Luka Modrić,10,CRO,"RM,LM",36,79,0,0,0,0,3,1,0,0,68,2,1,0,0.2,0.2,0.3,6,1,53,62,85.5,10,34,3,2,2
Toni Kroos,8,GER,LM,32,11,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.1,3,0,15,18,83.3,3,12,0,0,0
Ferland Mendy,23,FRA,LB,27,90,0,0,0,0,0,0,0,0,54,3,3,0,0.0,0.0,0.0,3,0,47,47,100.0,5,27,0,2,1
David Alaba,4,AUT,CB,30,90,0,1,0,0,4,0,0,0,43,0,0,0,0.3,0.3,0.3,1,1,35,38,92.1,2,30,1,0,0
Éder Militão,3,BRA,CB,24,90,0,0,0,0,1,0,0,0,48,2,2,3,0.0,0.0,0.0,0,0,32,39,82.1,2,28,1,0,0
Dani Carvajal,2,ESP,RB,30,89,0,0,0,0,0,0,0,0,36,3,1,0,0.0,0.0,0.0,3,1,25,29,86.2,2,21,1,0,0
Antonio Rüdiger,22,GER,RB,29,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,0
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,33,36,91.7,0,27,0,0,0
