player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,59,0,2,0,0,2,0,1,0,28,0,0,0,0.5,0.5,0.8,6,2,22,24,91.7,2,17,3,1,0
Rodrygo,21,BRA,FW,22,31,0,0,0,0,2,1,0,0,22,0,0,0,0.2,0.2,0.0,3,0,14,17,82.4,1,13,0,7,4
Vinicius Júnior,20,BRA,LW,22,90,1,0,0,0,3,2,0,0,81,2,0,1,0.4,0.4,0.1,8,1,45,59,76.3,5,65,10,17,3
Marco Asensio,11,ESP,RW,27,90,1,0,0,0,6,2,1,0,67,0,0,0,0.8,0.8,0.3,2,0,46,59,78.0,6,49,1,1,1
Dani Ceballos,19,ESP,LM,26,90,0,0,0,0,0,0,0,0,121,2,2,1,0.0,0.0,0.0,3,0,104,111,93.7,14,85,4,5,3
Toni Kroos,8,GER,CM,33,65,0,0,0,0,0,0,0,0,69,1,0,0,0.0,0.0,0.1,2,0,66,69,95.7,7,53,1,0,0
Aurélien Tchouaméni,18,FRA,CM,23,25,0,0,0,0,2,0,0,0,33,0,1,0,0.1,0.1,0.0,0,0,28,29,96.6,1,26,0,0,0
Luka Modrić,10,CRO,RM,37,65,0,0,0,0,1,1,0,0,49,1,1,1,0.1,0.1,0.6,3,0,35,40,87.5,6,36,1,3,0
Federico Valverde,15,URU,RM,24,25,0,0,0,0,1,1,0,0,18,0,1,0,0.1,0.1,0.0,1,0,14,14,100.0,0,14,0,0,0
Eduardo Camavinga,12,FRA,LB,20,90,0,0,0,0,1,0,0,0,96,4,2,0,0.1,0.1,0.1,3,1,79,86,91.9,10,58,0,4,3
Antonio Rüdiger,22,GER,CB,29,90,0,0,0,0,0,0,0,0,82,1,0,1,0.0,0.0,0.0,0,0,69,73,94.5,4,64,0,0,0
Éder Militão,3,BRA,CB,25,35,0,0,0,0,0,0,0,0,45,0,0,2,0.0,0.0,0.0,0,0,40,41,97.6,4,37,0,0,0
Dani Carvajal,2,ESP,RB,31,55,0,0,0,0,0,0,0,0,61,3,1,0,0.0,0.0,0.0,2,0,46,55,83.6,0,40,2,1,0
Nacho,6,ESP,"CB,RB",33,90,0,0,0,0,1,0,1,0,88,2,1,0,0.1,0.1,0.0,3,0,72,77,93.5,4,56,0,1,1
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,24,25,96.0,0,17,0,0,0
