player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Edinson Cavani,7,URU,FW,35,74,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.1,2,0,17,19,89.5,0,11,0,1,0
Francisco Perez,29,ESP,RW,20,16,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,4,0,0,0
Samuel,16,BRA,LW,23,69,0,0,0,0,1,0,0,0,26,0,0,1,0.1,0.1,0.0,0,0,15,16,93.8,2,15,1,4,2
Toni Lato,3,ESP,LW,25,21,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,1,0,1,0
Samu Castillejo,11,ESP,RW,28,57,0,0,0,0,0,0,0,0,32,1,3,0,0.0,0.0,0.0,0,0,17,25,68.0,3,16,1,4,1
Maranhão,22,BRA,"FW,RW",26,33,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.0,0,0,4,4,100.0,0,4,0,0,0
Domingos André Ribeiro Almeida,18,POR,LM,22,69,0,0,0,0,0,0,0,0,46,4,0,1,0.0,0.0,0.0,0,0,31,39,79.5,4,19,2,1,1
Ilaix Moriba,8,GUI,"RM,LM",20,21,0,0,0,0,0,0,0,0,21,4,0,0,0.0,0.0,0.0,1,0,13,16,81.3,0,13,1,2,1
Hugo Guillamón,6,ESP,CM,23,90,0,0,0,0,0,0,0,0,51,1,0,0,0.0,0.0,0.0,1,0,38,45,84.4,0,21,0,0,0
Yunus Musah,4,USA,RM,20,74,0,0,0,0,1,0,0,0,23,2,0,0,0.0,0.0,0.1,2,0,11,16,68.8,1,17,2,5,1
Eray Cömert,24,SUI,CB,24,16,0,0,0,0,0,0,0,0,9,2,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0
José Luis Gayà,14,ESP,LB,27,90,0,0,0,0,0,0,0,0,37,0,1,2,0.0,0.0,0.0,0,0,26,34,76.5,2,18,3,0,0
Mouctar Diakhaby,12,GUI,CB,26,90,0,0,0,0,0,0,1,0,32,0,1,6,0.0,0.0,0.0,0,0,18,20,90.0,0,12,0,0,0
Gabriel Paulista,5,BRA,CB,32,71,0,0,0,0,0,0,0,1,23,0,1,3,0.0,0.0,0.0,0,0,12,13,92.3,1,9,0,0,0
Dimitri Foulquier,20,FRA,RB,29,90,0,0,0,0,0,0,0,0,58,8,1,3,0.0,0.0,0.0,0,0,27,39,69.2,2,17,0,0,0
Giorgi Mamardashvili,25,GEO,GK,22,90,0,0,0,0,0,0,0,0,35,0,1,0,0.0,0.0,0.0,0,0,17,30,56.7,0,10,0,0,0
