player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,64,3,0,0,0,7,5,0,0,49,0,0,0,2.2,2.2,0.3,4,0,32,39,82.1,6,32,1,2,1
Eden Hazard,7,BEL,FW,32,26,0,1,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.4,6,1,9,12,75.0,2,9,1,1,0
Vinicius Júnior,20,BRA,LW,22,68,0,2,0,0,2,1,0,0,45,0,0,1,0.1,0.1,1.0,4,2,19,30,63.3,1,36,9,4,1
Dani Ceballos,19,ESP,"LW,AM",26,22,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,2,0,18,19,94.7,4,17,0,2,0
Marco Asensio,11,ESP,"RW,AM",27,90,1,1,0,0,3,3,0,0,60,1,1,0,0.5,0.5,0.3,7,2,43,50,86.0,7,44,8,2,2
Rodrygo,21,BRA,"AM,LW",22,81,1,2,0,0,4,2,0,0,48,0,1,0,0.6,0.6,1.0,10,4,32,39,82.1,4,37,8,6,4
Álvaro Odriozola,16,ESP,RB,27,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.2,2,0,3,3,100.0,1,5,1,1,0
Aurélien Tchouaméni,18,FRA,DM,23,90,0,0,0,0,2,0,0,0,67,4,0,0,0.0,0.0,0.0,4,1,52,56,92.9,6,47,1,2,2
Toni Kroos,8,GER,DM,33,90,0,0,0,0,3,2,0,0,101,1,1,2,0.2,0.2,0.1,5,1,85,95,89.5,10,70,2,1,1
Eduardo Camavinga,12,FRA,LB,20,90,0,0,0,0,0,0,0,0,81,3,0,1,0.0,0.0,0.1,3,0,63,69,91.3,7,40,1,2,1
David Alaba,4,AUT,CB,30,68,0,0,0,0,1,0,0,0,41,1,2,1,0.1,0.1,0.0,1,0,30,35,85.7,1,24,1,0,0
Jesús Vallejo,5,ESP,CB,26,22,0,0,0,0,1,1,0,0,14,0,0,0,0.3,0.3,0.0,0,0,12,12,100.0,0,10,0,0,0
Éder Militão,3,BRA,CB,25,90,0,0,0,0,2,0,0,0,57,1,2,4,0.1,0.1,0.0,0,0,32,42,76.2,1,31,1,2,1
Lucas Vázquez,17,ESP,"RB,RW",31,90,1,0,0,0,3,3,0,0,68,2,2,0,0.4,0.4,0.0,3,0,48,55,87.3,3,40,5,4,1
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.4,1,0,33,37,89.2,0,23,0,0,0
