player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,58,0,0,0,0,1,1,0,0,17,0,0,1,0.1,0.1,0.1,1,0,11,11,100.0,2,15,1,1,1
Federico Valverde,15,URU,RM,24,32,0,0,0,0,0,0,0,0,14,1,1,0,0.0,0.0,0.2,1,0,12,12,100.0,3,9,1,1,1
Vinicius Júnior,20,BRA,LW,22,90,1,0,0,0,5,1,0,0,52,1,0,1,1.0,1.0,0.3,13,1,27,31,87.1,9,43,8,14,6
Rodrygo,21,BRA,"RW,FW",22,90,0,0,0,0,5,1,0,0,41,0,0,1,0.6,0.6,0.1,3,0,21,26,80.8,3,29,3,3,3
Dani Ceballos,19,ESP,"LM,CM",26,74,0,1,0,0,0,0,0,0,51,2,2,1,0.0,0.0,0.7,6,1,39,47,83.0,7,45,4,4,4
Eduardo Camavinga,12,FRA,CM,20,16,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,1,0,9,11,81.8,3,11,0,2,0
Aurélien Tchouaméni,18,FRA,CM,23,71,0,0,0,0,2,0,0,0,55,4,2,1,0.2,0.2,0.3,3,0,39,42,92.9,3,35,0,3,2
Luka Modrić,10,CRO,"LM,CM",37,19,0,0,0,0,1,0,0,0,20,0,0,1,0.0,0.0,0.2,4,0,16,17,94.1,2,16,1,0,0
Marco Asensio,11,ESP,"RM,RW",27,90,0,0,0,0,2,1,0,0,48,3,0,0,0.3,0.3,0.2,2,0,33,40,82.5,3,32,4,3,2
Nacho,6,ESP,LB,33,90,0,0,0,0,2,0,0,0,49,1,1,0,0.2,0.2,0.0,0,0,35,41,85.4,4,30,1,0,0
David Alaba,4,AUT,CB,30,45,0,0,0,0,0,0,0,0,34,0,0,1,0.0,0.0,0.0,0,0,25,29,86.2,2,19,0,0,0
Éder Militão,3,BRA,CB,25,45,0,0,0,0,0,0,0,0,28,0,0,2,0.0,0.0,0.0,1,0,19,21,90.5,0,14,1,0,0
Antonio Rüdiger,22,GER,CB,30,90,0,0,0,0,0,0,0,0,58,2,0,1,0.0,0.0,0.0,1,0,46,49,93.9,2,37,1,0,0
Lucas Vázquez,17,ESP,RB,31,90,0,0,0,0,0,0,0,0,64,5,0,3,0.0,0.0,0.0,0,0,46,53,86.8,1,33,0,2,2
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,28,35,80.0,0,27,0,0,0
