player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Giovani Lo Celso,17,ARG,FW,26,66,0,1,0,0,3,1,0,0,42,0,0,0,0.1,0.1,0.5,6,1,34,38,89.5,8,34,6,3,2
José Luis Morales,22,ESP,LW,35,24,1,0,0,0,2,1,0,0,9,1,0,0,0.3,0.3,0.0,1,1,4,5,80.0,0,5,0,1,0
Yeremi Pino,21,ESP,LW,20,66,0,0,0,0,1,0,1,0,26,2,2,3,0.0,0.0,0.1,2,0,11,14,78.6,1,20,0,5,1
Alberto Moreno,18,ESP,FW,30,24,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,6,8,75.0,0,6,0,0,0
Samuel Chukwueze,11,NGA,RW,23,89,2,0,0,0,5,3,0,0,39,0,0,1,0.7,0.7,0.0,6,2,19,27,70.4,2,30,9,9,7
Kiko Femenía,2,ESP,RW,32,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Alex Baena,16,ESP,LM,21,89,0,1,0,0,3,2,0,0,59,1,0,0,0.2,0.2,0.0,5,1,42,50,84.0,9,48,1,3,1
Johan Mojica,12,COL,LM,30,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0
Daniel Parejo,10,ESP,CM,33,90,0,0,0,0,0,0,0,0,94,2,1,1,0.0,0.0,0.1,7,0,82,90,91.1,8,61,0,0,0
Ramón Terrats,39,ESP,RM,22,32,0,0,0,0,0,0,0,0,23,0,0,1,0.0,0.0,0.0,1,0,14,18,77.8,3,15,0,1,0
Manu Trigueros,14,ESP,RM,31,58,0,0,0,0,0,0,0,0,41,3,0,0,0.0,0.0,0.1,0,0,32,35,91.4,2,28,1,0,0
Alfonso Pedraza,24,ESP,LB,26,90,0,0,0,0,0,0,1,0,58,2,1,1,0.0,0.0,0.0,1,0,32,43,74.4,1,36,6,6,2
Pau Torres,4,ESP,CB,26,90,0,0,0,0,0,0,0,0,64,2,0,1,0.0,0.0,0.0,1,0,45,57,78.9,3,48,2,1,1
Aïssa Mandi,23,ALG,CB,31,90,0,0,0,0,0,0,0,0,38,0,2,1,0.0,0.0,0.2,1,0,26,29,89.7,0,20,0,0,0
Juan Foyth,8,ARG,RB,25,90,0,0,0,0,3,1,1,0,47,5,0,2,0.1,0.1,0.1,0,0,31,32,96.9,1,19,3,3,2
Pepe Reina,1,ESP,GK,40,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,24,32,75.0,0,18,0,0,0
