player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Rodrygo,21,BRA,"FW,LW",22,80,2,0,0,0,3,2,0,0,38,1,0,0,0.6,0.6,0.0,2,1,23,25,92.0,1,37,4,5,1
Nacho,6,ESP,RB,33,10,0,0,0,0,0,0,1,0,9,0,0,0,0.0,0.0,0.0,1,0,7,9,77.8,1,7,1,1,1
Dani Ceballos,19,ESP,"LW,RW",26,90,0,0,0,0,0,0,1,0,91,1,0,1,0.0,0.0,0.1,3,0,71,81,87.7,9,74,2,6,2
Federico Valverde,15,URU,RW,24,53,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,22,27,81.5,0,20,1,0,0
Eduardo Camavinga,12,FRA,"RW,LB,LW",20,37,0,0,0,0,0,0,0,0,36,2,1,0,0.0,0.0,0.1,1,0,25,28,89.3,5,27,3,5,2
Toni Kroos,8,GER,LM,33,90,0,1,0,0,1,1,0,0,141,2,1,0,0.1,0.1,0.2,2,1,124,136,91.2,5,98,0,0,0
Aurélien Tchouaméni,18,FRA,CM,23,90,0,0,0,0,0,0,1,0,88,2,3,0,0.0,0.0,0.0,1,1,69,76,90.8,3,68,2,2,1
Luka Modrić,10,CRO,RM,37,90,0,0,0,0,0,0,0,0,86,0,0,0,0.0,0.0,0.0,0,0,76,83,91.6,13,66,3,2,1
Ferland Mendy,23,FRA,LB,27,65,0,0,0,0,0,0,0,0,49,1,0,1,0.0,0.0,0.0,0,0,38,42,90.5,0,27,0,0,0
Álvaro Muñoz,39,URU,FW,18,25,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,3,0,0,0
David Alaba,4,AUT,CB,30,90,0,0,0,0,1,0,0,0,82,1,0,1,0.0,0.0,0.0,0,0,73,80,91.3,3,63,0,0,0
Éder Militão,3,BRA,CB,25,90,0,0,0,0,0,0,0,0,83,1,5,2,0.0,0.0,0.0,1,1,66,71,93.0,4,52,1,0,0
Lucas Vázquez,17,ESP,RB,31,80,0,0,0,0,0,0,1,0,64,1,1,0,0.0,0.0,0.3,1,0,50,53,94.3,4,52,1,1,0
Antonio Rüdiger,22,GER,LB,30,10,0,0,0,0,1,0,0,0,19,0,0,0,0.1,0.1,0.0,0,0,17,17,100.0,0,14,2,0,0
Thibaut Courtois,1,BEL,GK,31,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,34,41,82.9,0,26,0,0,0
