player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,90,2,0,1,1,5,2,0,0,63,0,0,1,1.5,0.7,0.1,2,0,45,55,81.8,10,33,4,2,1
Vinicius Júnior,20,BRA,LW,22,87,0,0,0,0,3,2,0,0,47,2,1,4,0.3,0.3,0.0,4,0,16,24,66.7,2,37,10,10,2
Luka Modrić,10,CRO,LM,37,3,0,0,0,0,1,0,0,0,19,0,0,0,0.1,0.1,0.0,2,1,17,18,94.4,1,12,1,0,0
Marco Asensio,11,ESP,RW,26,59,0,0,0,0,3,1,0,0,39,0,1,0,0.1,0.1,0.1,4,0,22,30,73.3,2,24,1,0,0
Rodrygo,21,BRA,RW,21,31,0,0,0,0,1,0,0,0,22,0,0,0,0.0,0.0,0.2,2,0,18,20,90.0,0,16,1,1,0
Dani Ceballos,19,ESP,LM,26,68,0,0,0,0,0,0,0,0,49,0,1,1,0.0,0.0,0.0,1,0,41,46,89.1,14,37,2,1,0
Eduardo Camavinga,12,FRA,"LM,LW",20,22,0,1,0,0,1,1,0,0,28,0,0,0,0.0,0.0,0.4,2,1,22,25,88.0,7,22,3,1,0
Toni Kroos,8,GER,CM,32,90,0,0,0,0,1,0,0,0,112,2,1,0,0.0,0.0,0.2,7,0,102,109,93.6,11,71,0,0,0
Federico Valverde,15,URU,RM,24,86,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,3,0,45,51,88.2,6,34,9,3,3
Aurélien Tchouaméni,18,FRA,RM,22,4,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,3,0,0,0
Ferland Mendy,23,FRA,LB,27,90,0,0,0,0,0,0,0,0,69,3,1,0,0.0,0.0,0.0,1,0,56,58,96.6,1,37,2,1,0
David Alaba,4,AUT,CB,30,90,0,0,0,0,0,0,0,0,53,0,0,2,0.0,0.0,0.0,0,0,44,51,86.3,2,36,0,0,0
Antonio Rüdiger,22,GER,CB,29,90,0,0,0,0,3,0,0,0,54,0,1,0,0.2,0.2,0.0,1,1,43,48,89.6,2,31,1,0,0
Dani Carvajal,2,ESP,RB,30,59,0,0,0,0,0,0,0,0,49,0,0,2,0.0,0.0,0.0,1,0,40,47,85.1,2,34,0,0,0
Lucas Vázquez,17,ESP,RB,31,31,0,0,0,0,0,0,0,0,30,2,0,1,0.0,0.0,0.2,2,0,22,27,81.5,2,19,1,1,0
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,38,48,79.2,0,34,0,0,0
