player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Karim Benzema,9,FRA,FW,35,90,1,0,1,1,2,0,0,0,41,2,0,0,1.0,0.2,0.4,4,0,26,34,76.5,4,23,1,1,0
Vinicius Júnior,20,BRA,LW,22,90,0,0,0,0,2,1,0,0,39,2,0,0,0.4,0.4,0.2,5,1,15,25,60.0,3,36,7,6,0
Federico Valverde,15,URU,"RW,RM",24,81,0,0,0,0,0,0,0,0,47,2,0,1,0.0,0.0,0.5,3,0,32,37,86.5,4,25,1,1,1
Marco Asensio,11,ESP,RM,26,9,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,2,6,1,0,0
Luka Modrić,10,CRO,LM,37,69,0,0,0,0,0,0,0,0,44,0,0,2,0.0,0.0,0.0,0,0,30,38,78.9,3,23,1,0,0
Eduardo Camavinga,12,FRA,LM,20,21,0,0,0,0,0,0,1,0,21,2,1,0,0.0,0.0,0.0,2,0,12,14,85.7,2,14,1,2,0
Aurélien Tchouaméni,18,FRA,CM,22,63,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,1,0,43,46,93.5,3,28,2,0,0
Lucas Vázquez,17,ESP,RB,31,27,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,2,0,19,21,90.5,0,13,0,0,0
Toni Kroos,8,GER,"RM,CM",33,90,0,0,0,0,1,0,0,0,93,2,1,1,0.1,0.1,0.2,5,0,79,86,91.9,6,60,0,1,0
Ferland Mendy,23,FRA,LB,27,63,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,26,30,86.7,2,20,2,1,1
Rodrygo,21,BRA,RW,21,27,0,0,0,0,3,0,0,0,17,0,0,1,0.6,0.6,0.0,2,0,12,12,100.0,2,14,3,1,0
David Alaba,4,AUT,"CB,LB",30,90,0,0,0,0,0,0,0,0,58,3,0,2,0.0,0.0,0.0,0,0,43,49,87.8,3,30,0,0,0
Antonio Rüdiger,22,GER,CB,29,90,0,0,0,0,2,1,0,0,53,1,2,0,0.2,0.2,0.0,1,0,36,42,85.7,2,32,0,0,0
Éder Militão,3,BRA,"RB,CB",24,90,0,0,0,0,2,0,0,0,59,0,1,5,0.1,0.1,0.0,0,0,32,46,69.6,4,30,3,2,2
Thibaut Courtois,1,BEL,GK,30,90,0,0,0,0,0,0,0,0,36,1,0,0,0.0,0.0,0.0,0,0,26,31,83.9,0,18,0,0,0
