player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Gerard Moreno,7,ESP,FW,30,87,1,1,1,1,0,0,0,0,51,0,1,1,0.8,0.0,0.6,5,1,30,41,73.2,9,38,2,2,1
Arnaut Danjuma,9,NED,FW,25,3,0,0,0,0,4,1,0,0,10,0,0,0,0.9,0.9,0.1,2,0,6,6,100.0,1,8,2,0,0
Yeremi Pino,21,ESP,LW,20,80,1,0,0,0,1,1,0,0,35,1,1,3,0.4,0.4,0.1,2,0,18,26,69.2,3,24,1,1,0
José Luis Morales,22,ESP,LW,35,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.1,1,0,6,6,100.0,0,5,0,0,0
Samuel Chukwueze,11,NGA,RW,23,90,0,0,0,0,2,1,0,0,45,1,1,0,0.3,0.3,0.7,8,1,25,31,80.6,4,32,4,8,5
Alex Baena,16,ESP,LM,21,90,0,0,0,0,4,0,1,0,53,1,1,1,0.2,0.2,0.0,1,0,39,43,90.7,6,47,1,3,0
Daniel Parejo,10,ESP,CM,33,90,0,0,0,0,2,1,0,0,86,2,1,1,0.1,0.1,0.1,2,1,71,78,91.0,7,61,1,4,3
Francis Coquelin,19,FRA,RM,31,88,0,0,0,0,1,0,0,0,36,1,1,0,0.4,0.4,0.0,0,0,25,28,89.3,3,29,1,0,0
Manu Trigueros,14,ESP,RM,31,2,0,0,0,0,0,0,0,0,4,1,0,1,0.0,0.0,0.0,1,0,2,2,100.0,0,0,0,0,0
Alberto Moreno,18,ESP,LB,30,71,0,0,0,0,1,0,0,0,43,0,3,1,0.0,0.0,0.4,2,0,28,36,77.8,4,26,2,0,0
Alfonso Pedraza,24,ESP,LB,26,19,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,1,0,9,10,90.0,2,6,1,1,1
Pau Torres,4,ESP,CB,25,90,0,0,0,0,1,0,1,0,78,0,2,1,0.1,0.1,0.0,1,0,58,68,85.3,5,53,0,1,1
Raúl Albiol,3,ESP,CB,37,90,0,0,0,0,0,0,1,0,41,2,2,0,0.0,0.0,0.0,0,0,26,31,83.9,2,27,0,1,1
Juan Foyth,8,ARG,RB,24,90,0,0,0,0,0,0,0,0,53,7,2,0,0.0,0.0,0.0,1,0,36,42,85.7,7,34,4,0,0
Pepe Reina,1,ESP,GK,40,90,0,0,0,0,0,0,1,0,46,0,0,0,0.0,0.0,0.0,0,0,34,44,77.3,0,32,0,0,0
