player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Gonçalo Ramos,88,POR,FW,21,90,0,0,0,0,2,1,0,0,28,1,0,0,0.4,0.4,0.0,3,0,16,19,84.2,3,14,0,0,0
Fredrik Aursnes,8,NOR,"LW,DM",27,90,0,0,0,0,1,0,0,0,62,2,0,1,0.0,0.0,0.1,5,0,48,57,84.2,7,38,2,0,0
João Mário,20,POR,"RW,LW",30,90,0,0,0,0,1,0,0,0,71,2,1,0,0.0,0.0,0.5,2,0,50,60,83.3,9,53,2,4,3
Rafa Silva,27,POR,AM,29,90,0,0,0,0,2,1,0,0,40,1,0,1,0.5,0.5,0.0,2,0,23,26,88.5,3,28,3,4,0
Chiquinho,22,POR,DM,27,90,0,0,0,0,1,0,0,0,71,2,2,1,0.1,0.1,0.0,2,0,56,64,87.5,8,53,2,4,3
Florentino Luís,61,POR,DM,23,63,0,0,0,0,1,0,0,0,57,1,1,1,0.0,0.0,0.0,1,0,42,45,93.3,5,36,0,0,0
David Neres,7,BRA,RW,26,27,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.6,3,0,15,19,78.9,5,14,1,3,3
Álex Grimaldo,3,ESP,LB,27,90,0,0,0,0,4,0,0,0,76,1,0,1,0.7,0.7,0.4,2,0,52,65,80.0,8,46,6,1,0
Morato,91,BRA,CB,21,90,0,0,0,0,0,0,0,0,96,0,1,3,0.0,0.0,0.0,1,0,80,88,90.9,7,58,0,1,0
António Silva,66,POR,CB,19,90,0,0,0,0,0,0,1,0,87,0,2,0,0.0,0.0,0.0,1,0,73,81,90.1,8,61,0,1,1
Gilberto,2,BRA,RB,30,90,0,0,0,0,0,0,0,0,95,1,0,1,0.0,0.0,0.0,1,0,70,85,82.4,9,66,8,4,2
Odisseas Vlachodimos,99,GRE,GK,28,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,23,31,74.2,0,19,0,0,0
