player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Edin Džeko,9,BIH,FW,36,57,0,0,0,0,0,0,0,0,21,1,0,3,0.0,0.0,0.0,0,0,6,13,46.2,2,7,0,0,0
Romelu Lukaku,90,BEL,FW,29,33,1,0,0,0,4,2,0,0,16,1,0,0,0.6,0.6,0.1,4,1,6,8,75.0,2,7,0,1,0
Lautaro Martínez,10,ARG,FW,25,90,0,0,0,0,4,0,0,0,26,0,0,1,0.5,0.5,0.0,1,0,12,18,66.7,4,22,0,3,1
Henrikh Mkhitaryan,22,ARM,CM,34,71,0,0,0,0,0,0,0,0,27,2,1,2,0.0,0.0,0.0,0,0,14,20,70.0,3,15,2,1,1
Marcelo Brozović,77,CRO,CM,30,19,0,0,0,0,1,0,0,0,33,2,0,0,0.0,0.0,0.0,4,0,28,30,93.3,8,28,3,1,1
Hakan Çalhanoğlu,20,TUR,CM,29,90,0,0,0,0,2,1,0,0,75,2,2,0,0.1,0.1,0.1,5,0,52,67,77.6,7,47,0,1,0
Nicolò Barella,23,ITA,CM,26,90,0,0,0,0,4,0,0,0,54,3,0,1,0.1,0.1,0.1,1,0,28,32,87.5,5,37,4,2,0
Federico Dimarco,32,ITA,WB,25,57,0,0,0,0,1,0,1,0,37,0,0,0,0.0,0.0,0.2,3,0,24,34,70.6,6,26,0,1,0
Robin Gosens,8,GER,WB,28,33,0,0,0,0,0,0,0,0,29,2,0,0,0.0,0.0,0.2,3,0,18,24,75.0,2,19,1,1,0
Matteo Darmian,36,ITA,"WB,CB",33,90,0,0,0,0,0,0,0,0,66,2,0,0,0.0,0.0,0.2,2,0,46,62,74.2,7,38,3,0,0
Alessandro Bastoni,95,ITA,CB,23,90,0,0,0,0,1,1,0,0,90,2,0,2,0.1,0.1,0.0,4,0,68,80,85.0,9,58,2,1,0
Francesco Acerbi,15,ITA,CB,35,90,0,0,0,0,1,0,0,0,62,0,1,1,0.1,0.1,0.1,3,0,50,57,87.7,2,44,1,0,0
Milan Škriniar,37,SVK,CB,28,80,0,0,0,0,0,0,0,0,66,0,0,1,0.0,0.0,0.1,1,0,55,60,91.7,2,45,1,0,0
Denzel Dumfries,2,NED,WB,26,10,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,5,0,0,0
André Onana,24,CMR,GK,26,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,44,50,88.0,0,40,0,0,0
