player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Mehdi Taremi,9,IRN,"FW,LW",30,82,0,0,0,0,3,2,0,0,32,2,0,0,1.1,1.1,0.1,1,0,11,19,57.9,0,15,3,5,1
Wendell,22,BRA,LB,29,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0
Galeno,13,BRA,LW,25,50,0,0,0,0,1,0,0,0,24,0,0,0,0.2,0.2,0.1,2,0,12,17,70.6,1,15,4,1,0
Evanilson,30,BRA,FW,23,40,0,0,0,0,0,0,0,0,23,2,0,0,0.0,0.0,0.0,0,0,15,19,78.9,1,9,0,2,0
Pepê,11,BRA,"RW,RM",25,90,0,0,0,0,1,0,1,0,37,2,1,2,0.1,0.1,0.3,2,0,16,25,64.0,4,22,3,3,1
Otávio,25,POR,AM,28,77,0,0,0,0,0,0,2,1,46,1,1,1,0.0,0.0,0.1,3,0,29,35,82.9,5,30,2,5,2
Mateus Uribe,8,COL,"DM,CM",31,90,0,0,0,0,1,0,0,0,58,3,4,1,0.0,0.0,0.1,2,0,35,40,87.5,1,37,2,4,3
Marko Grujić,16,SRB,"DM,CM",26,90,0,0,0,0,2,1,0,0,52,1,3,0,0.1,0.1,0.0,2,0,29,36,80.6,7,23,0,1,1
Zaidu Sanusi,12,NGA,"LB,CB",25,90,0,0,0,0,2,1,0,0,63,5,1,2,0.2,0.2,0.0,2,0,29,42,69.0,1,24,2,0,0
Iván Marcano,5,ESP,CB,35,90,0,0,0,0,0,0,0,0,48,1,2,3,0.0,0.0,0.0,0,0,33,40,82.5,0,22,0,0,0
Pepe,3,POR,CB,39,90,0,0,0,0,0,0,0,0,46,4,1,1,0.0,0.0,0.0,1,0,31,36,86.1,2,30,0,1,0
João Mário Lopes,23,POR,RB,23,89,0,0,0,0,0,0,0,0,31,1,1,1,0.0,0.0,0.0,1,0,19,24,79.2,1,16,2,3,2
Gonçalo Borges,70,POR,RB,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Diogo Costa,99,POR,GK,23,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,30,43,69.8,0,26,0,0,0
