minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
8,İlkay Gündoğan,Manchester City,0.03,,Off Target,30,Right Foot,,Kevin De Bruyne,Pass (Live),João Cancelo,Pass (Live)
10,John Stones,Manchester City,0.14,,Off Target,6,Head,,Kevin De Bruyne,Pass (Dead),İlkay Gündoğan,Pass (Live)
27,Phil Foden,Manchester City,0.06,,Blocked,16,Left Foot,,João Cancelo,Pass (Live),Aymeric Laporte,Pass (Live)
27,Kevin De Bruyne,Manchester City,0.06,,Blocked,17,Right Foot,Volley,Phil Foden,Shot,,
30,İlkay Gündoğan,Manchester City,0.14,,Woodwork,10,Left Foot,,Kyle Walker,Pass (Live),Riyad Mahrez,Pass (Live)
30,İlkay Gündoğan,Manchester City,0.10,,Blocked,10,Head,,Phil Foden,Pass (Live),İlkay Gündoğan,Shot
38,João Cancelo,Manchester City,0.04,,Off Target,27,Right Foot,,João Cancelo,Take-On,İlkay Gündoğan,Pass (Live)
41,Riyad Mahrez,Manchester City,0.05,,Blocked,14,Left Foot,,Riyad Mahrez,Take-On,Kyle Walker,Pass (Live)
84,Riyad Mahrez,Manchester City,0.04,,Blocked,21,Left Foot,,Riyad Mahrez,Take-On,Rodri,Pass (Live)
90+6,İlkay Gündoğan,Manchester City,0.53,0.52,Saved,16,Left Foot,,Raheem Sterling,Pass (Live),Rodri,Pass (Live)
