player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Eric Maxim Choupo-Moting,13,CMR,FW,34,70,0,0,0,0,3,1,0,0,22,1,1,0,0.4,0.4,0.0,2,0,10,11,90.9,2,10,0,0,0
Mathys Tel,39,FRA,FW,17,20,0,0,0,0,2,0,0,0,11,0,1,2,0.1,0.1,0.0,0,0,2,3,66.7,0,5,0,1,0
Leroy Sané,10,GER,LW,27,62,0,0,0,0,3,1,0,0,29,2,1,1,0.3,0.3,0.3,7,0,15,20,75.0,2,17,2,2,1
Sadio Mané,17,SEN,LW,31,28,0,0,0,0,1,0,0,0,16,0,0,0,0.2,0.2,0.0,1,0,9,13,69.2,3,12,1,1,1
Kingsley Coman,11,FRA,RW,26,90,0,0,0,0,5,1,0,0,60,0,0,0,0.3,0.3,0.0,7,0,34,45,75.6,8,38,9,7,4
Jamal Musiala,42,GER,AM,20,70,0,0,0,0,0,0,0,0,31,2,0,0,0.0,0.0,0.6,4,0,24,24,100.0,5,22,3,4,3
Thomas Müller,25,GER,AM,33,20,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,6,10,60.0,3,6,0,0,0
Leon Goretzka,8,GER,DM,28,90,0,0,0,0,2,1,0,0,64,1,1,4,0.1,0.1,0.0,3,1,46,48,95.8,6,33,1,1,0
Joshua Kimmich,6,GER,DM,28,90,1,0,1,1,2,1,1,0,82,1,2,3,0.9,0.1,0.1,2,0,58,69,84.1,10,52,0,2,1
João Cancelo,22,POR,LB,28,62,0,0,0,0,0,0,1,0,43,4,0,1,0.0,0.0,0.0,1,0,31,36,86.1,1,27,3,3,2
Alphonso Davies,19,CAN,LB,22,28,0,0,0,0,0,0,0,0,25,2,1,0,0.0,0.0,0.3,4,0,20,21,95.2,1,15,2,5,3
Matthijs de Ligt,4,NED,CB,23,90,0,0,0,0,0,0,0,0,81,1,0,1,0.0,0.0,0.0,1,0,73,76,96.1,7,62,0,0,0
Dayot Upamecano,2,FRA,CB,24,90,0,0,0,0,0,0,1,0,94,0,2,0,0.0,0.0,0.0,1,0,86,91,94.5,3,75,1,1,1
Benjamin Pavard,5,FRA,RB,27,76,0,0,0,0,0,0,1,0,57,1,0,0,0.0,0.0,0.0,0,0,48,56,85.7,5,35,0,0,0
Josip Stanišić,44,CRO,RB,23,14,0,0,0,0,0,0,1,0,13,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,0,6,2,0,0
Yann Sommer,27,SUI,GK,34,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,40,46,87.0,0,33,0,0,0
