player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Erling Haaland,9,NOR,FW,22,83,1,0,0,1,3,2,0,0,17,0,0,0,1.3,0.5,0.0,2,1,9,12,75.0,0,7,2,2,2
Julián Álvarez,19,ARG,FW,23,7,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,8,1,2,0
Jack Grealish,10,ENG,LW,27,90,0,0,0,0,1,0,0,0,48,2,0,1,0.0,0.0,0.2,6,0,30,37,81.1,4,37,5,5,4
Bernardo Silva,20,POR,RW,28,90,0,0,0,0,0,0,0,0,50,2,2,2,0.0,0.0,0.0,0,0,28,34,82.4,3,32,3,8,5
İlkay Gündoğan,8,GER,CM,32,90,0,0,0,0,1,0,1,0,44,3,1,1,0.0,0.0,0.0,1,0,30,35,85.7,4,26,0,1,1
Kevin De Bruyne,17,BEL,CM,31,87,0,1,0,0,0,0,0,0,61,0,1,0,0.0,0.0,0.3,3,1,40,52,76.9,9,40,5,1,0
Kyle Walker,2,ENG,RM,32,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
Rodri,16,ESP,"DM,CM",26,90,0,0,0,0,0,0,0,0,57,2,1,0,0.0,0.0,0.0,1,0,46,50,92.0,9,26,1,1,1
John Stones,5,ENG,"DM,CB",28,90,0,0,0,0,0,0,0,0,39,0,0,1,0.0,0.0,0.0,0,0,22,29,75.9,0,18,0,2,1
Nathan Aké,6,NED,LB,28,65,0,0,0,0,1,0,1,0,34,0,0,0,0.0,0.0,0.0,0,0,27,30,90.0,4,21,0,0,0
Aymeric Laporte,14,ESP,"LB,LM",28,25,0,0,0,0,0,0,1,0,18,0,1,0,0.0,0.0,0.0,0,0,12,15,80.0,1,7,0,0,0
Rúben Dias,3,POR,CB,25,90,0,0,0,0,0,0,0,0,41,3,0,3,0.0,0.0,0.0,0,0,29,30,96.7,2,25,0,0,0
Manuel Akanji,25,SUI,"RB,CB",27,90,0,0,0,0,0,0,0,0,56,1,1,3,0.0,0.0,0.0,0,0,47,51,92.2,2,40,0,0,0
Ederson,31,BRA,GK,29,90,0,0,0,0,0,0,1,0,43,0,0,0,0.0,0.0,0.0,0,0,30,39,76.9,0,26,0,1,1
