player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
João Félix,7,POR,"FW,LM",22,80,0,0,0,0,0,0,0,0,31,0,5,0,0.0,0.0,0.0,0,0,14,19,73.7,3,22,3,2,0
Thomas Lemar,11,FRA,LM,26,10,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,1,0
Antoine Griezmann,8,FRA,FW,31,59,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,7,11,63.6,2,7,2,1,1
Ángel Correa,10,ARG,RM,27,31,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,7,0,0,0
Geoffrey Kondogbia,4,CTA,CM,29,90,0,0,0,0,0,0,0,0,46,1,3,1,0.0,0.0,0.0,0,0,35,39,89.7,1,30,0,1,1
Koke,6,ESP,CM,30,59,0,0,0,0,0,0,0,0,26,2,0,0,0.0,0.0,0.0,0,0,18,22,81.8,0,17,0,1,1
Rodrigo De Paul,5,ARG,CM,27,31,0,0,0,0,0,0,1,0,19,1,0,0,0.0,0.0,0.0,0,0,9,17,52.9,0,7,0,0,0
Marcos Llorente,14,ESP,CM,27,59,0,0,0,0,0,0,0,0,13,0,2,0,0.0,0.0,0.0,0,0,4,8,50.0,0,7,0,0,0
Matheus Cunha,19,BRA,FW,22,31,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,7,0,1,1
Renan Lodi,12,BRA,LB,23,90,0,0,0,0,0,0,0,0,28,1,1,0,0.0,0.0,0.0,0,0,15,22,68.2,1,20,3,1,1
Reinildo Mandava,23,MOZ,CB,28,90,0,0,0,0,0,0,0,0,50,4,2,1,0.0,0.0,0.0,0,0,35,43,81.4,2,28,0,0,0
Felipe,18,BRA,CB,32,90,0,0,0,0,0,0,0,0,46,0,1,1,0.0,0.0,0.0,0,0,25,32,78.1,0,26,0,0,0
Stefan Savić,15,MNE,CB,31,90,0,0,0,0,0,0,0,0,42,1,0,2,0.0,0.0,0.0,0,0,26,35,74.3,1,25,0,1,0
Šime Vrsaljko,24,CRO,RB,30,90,0,0,0,0,0,0,1,0,41,3,1,2,0.0,0.0,0.0,0,0,20,27,74.1,0,13,1,0,0
Jan Oblak,13,SVN,GK,29,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,17,36,47.2,0,16,0,0,0
