player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Bernardo Silva,20,POR,"FW,LM,LW",27,90,0,0,0,0,0,0,0,0,42,0,0,4,0.0,0.0,0.2,3,0,31,35,88.6,0,34,1,5,3
Raheem Sterling,7,ENG,"LW,FW",27,67,0,0,0,0,1,0,0,0,36,0,0,2,0.0,0.0,0.0,2,0,27,28,96.4,2,31,2,5,3
Gabriel Jesus,9,BRA,FW,25,23,0,0,0,0,0,0,1,0,6,0,0,1,0.0,0.0,0.0,0,0,3,4,75.0,1,4,0,0,0
Riyad Mahrez,26,ALG,RW,31,67,0,0,0,0,1,0,0,0,49,0,0,2,0.1,0.1,0.1,4,0,34,44,77.3,1,39,3,2,2
Phil Foden,47,ENG,RW,21,23,0,1,0,0,1,0,0,0,15,0,0,0,0.0,0.0,0.2,3,1,10,14,71.4,2,13,1,1,1
İlkay Gündoğan,8,GER,LM,31,67,0,0,0,0,2,0,0,0,40,0,0,1,0.1,0.1,0.0,2,0,32,36,88.9,5,35,2,0,0
Jack Grealish,10,ENG,LW,26,23,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,8,11,72.7,1,12,0,1,1
Rodri,16,ESP,CM,25,90,0,0,0,0,1,0,0,0,116,2,2,0,0.1,0.1,0.0,3,1,95,109,87.2,13,99,5,1,0
Kevin De Bruyne,17,BEL,RM,30,90,1,0,0,0,5,2,0,0,65,1,0,1,0.6,0.6,0.1,5,0,32,52,61.5,3,49,2,3,0
Nathan Aké,6,NED,LB,27,90,0,0,0,0,0,0,0,0,106,0,3,1,0.0,0.0,0.1,5,0,89,97,91.8,10,76,2,1,0
Aymeric Laporte,14,ESP,CB,27,90,0,0,0,0,2,0,0,0,106,3,0,0,0.1,0.1,0.0,0,0,98,100,98.0,6,90,3,0,0
John Stones,5,ENG,CB,27,90,0,0,0,0,1,0,0,0,113,0,0,0,0.0,0.0,0.0,0,0,103,110,93.6,17,101,8,0,0
João Cancelo,27,POR,RB,27,90,0,0,0,0,1,0,0,0,88,2,2,1,0.0,0.0,0.0,3,0,67,79,84.8,8,66,1,3,3
Ederson,31,BRA,GK,28,90,0,0,0,0,0,0,1,0,22,0,0,0,0.0,0.0,0.0,0,0,22,22,100.0,0,18,0,0,0
