player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Serge Gnabry,7,GER,"FW,LW",27,79,0,0,0,0,0,0,0,0,39,3,0,1,0.0,0.0,0.0,1,0,19,26,73.1,2,24,1,3,0
Thomas Müller,25,GER,LW,33,11,0,0,0,0,0,0,0,0,7,0,0,2,0.0,0.0,0.0,0,0,4,6,66.7,0,4,0,0,0
Leroy Sané,10,GER,"LW,AM",27,90,0,0,0,0,5,4,0,0,49,0,1,2,0.2,0.2,0.3,5,0,29,34,85.3,4,31,5,5,3
Kingsley Coman,11,FRA,RW,26,90,0,0,0,0,1,0,0,0,42,0,0,3,0.1,0.1,0.3,3,0,24,29,82.8,3,33,6,10,4
Jamal Musiala,42,GER,AM,20,68,0,0,0,0,1,0,0,0,38,0,0,1,0.2,0.2,0.1,4,0,19,25,76.0,2,29,1,7,3
Sadio Mané,17,SEN,FW,31,22,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,2,1,0,0
Leon Goretzka,8,GER,DM,28,90,0,0,0,0,0,0,0,0,53,2,4,3,0.0,0.0,0.0,2,0,39,44,88.6,5,22,1,0,0
Joshua Kimmich,6,GER,DM,28,90,0,0,0,0,2,0,0,0,82,2,2,4,0.1,0.1,0.1,2,0,61,68,89.7,10,52,1,0,0
Alphonso Davies,19,CAN,LB,22,79,0,0,0,0,1,0,1,0,80,2,1,1,0.0,0.0,0.0,1,0,58,60,96.7,6,42,3,7,3
João Cancelo,22,POR,LB,28,11,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,9,1,0,0
Matthijs de Ligt,4,NED,CB,23,90,0,0,0,0,1,0,0,0,84,0,1,0,0.1,0.1,0.0,2,0,71,77,92.2,4,65,1,0,0
Dayot Upamecano,2,FRA,CB,24,90,0,0,0,0,0,0,0,0,102,0,0,0,0.0,0.0,0.0,0,0,83,97,85.6,1,79,1,0,0
Benjamin Pavard,5,FRA,RB,27,90,0,0,0,0,1,0,1,0,79,1,3,1,0.2,0.2,0.0,2,0,53,67,79.1,7,34,1,1,1
Yann Sommer,27,SUI,GK,34,90,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,36,41,87.8,0,29,0,0,0
