minute,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type
5,Erling Haaland,Manchester City,0.03,,Off Target,18,Left Foot,,Kevin De Bruyne,Pass (Live),Nathan Aké,Pass (Live)
7,İlkay Gündoğan,Manchester City,0.14,,Off Target,9,Head,,Kevin De Bruyne,Pass (Live),Bernardo Silva,Pass (Live)
22,Erling Haaland,Manchester City,0.10,0.03,Saved,20,Left Foot,,Jack Grealish,Pass (Live),İlkay Gündoğan,Pass (Live)
27,Rodri,Manchester City,0.04,0.50,Goal,27,Left Foot,,Rodri,Take-On,Bernardo Silva,Pass (Live)
34,İlkay Gündoğan,Manchester City,0.25,0.41,Saved,11,Left Foot,Volley,Bernardo Silva,Pass (Live),Manuel Akanji,Pass (Live)
35,Erling Haaland,Manchester City,0.16,,Off Target,4,Right Foot,Volley,İlkay Gündoğan,Shot,,
38,Rúben Dias,Manchester City,0.08,,Blocked,8,Head,,John Stones,Pass (Live),Manuel Akanji,Pass (Live)
50,Erling Haaland,Manchester City,0.07,,Blocked,15,Left Foot,,,,,
57,Nathan Aké,Manchester City,0.05,0.11,Saved,15,Left Foot,,Jack Grealish,Pass (Live),İlkay Gündoğan,Pass (Live)
57,Rúben Dias,Manchester City,0.22,0.31,Saved,11,Right Foot,,Kevin De Bruyne,Pass (Live),İlkay Gündoğan,Pass (Live)
60,John Stones,Manchester City,0.03,,Blocked,16,Right Foot,,Bernardo Silva,Pass (Live),,
70,Bernardo Silva,Manchester City,0.11,0.71,Goal,10,Head,,Erling Haaland,Pass (Live),Jack Grealish,Pass (Live)
75,Julián Álvarez,Manchester City,0.11,0.42,Saved,12,Right Foot,,İlkay Gündoğan,Pass (Live),Erling Haaland,Pass (Live)
76,Erling Haaland,Manchester City,0.39,0.69,Goal,6,Right Foot,Volley,John Stones,Pass (Live),Julián Álvarez,Pass (Live)
82,Julián Álvarez,Manchester City,0.03,,Off Target,30,Right Foot,,Jack Grealish,Pass (Live),Nathan Aké,Pass (Live)
87,Rodri,Manchester City,0.03,0.21,Saved,14,Head,,Julián Álvarez,Pass (Dead),,
89,Jack Grealish,Manchester City,0.06,,Off Target,21,Right Foot,,Bernardo Silva,Pass (Live),Bernardo Silva,Pass (Live)
