player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Bernardo Silva,20,POR,FW,26,58,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.1,1,0,27,30,90.0,2,25,1,0,0
Gabriel Jesus,9,BRA,FW,24,32,0,0,0,0,0,0,0,0,15,0,0,1,0.0,0.0,0.0,1,0,8,8,100.0,0,9,0,4,2
Phil Foden,47,ENG,LW,20,90,1,0,0,0,5,3,0,0,76,3,3,2,1.2,1.2,0.0,3,1,51,61,83.6,1,52,6,4,3
Riyad Mahrez,26,ALG,RW,30,90,0,1,0,0,1,1,0,0,62,1,2,1,0.1,0.1,0.8,5,1,45,53,84.9,6,46,2,4,2
Kevin De Bruyne,17,BEL,AM,29,90,1,0,0,0,2,1,0,0,68,0,0,2,0.7,0.7,0.6,5,1,50,62,80.6,12,38,4,2,2
İlkay Gündoğan,8,GER,DM,30,90,0,1,0,0,2,0,0,0,74,0,1,1,0.1,0.1,0.5,1,1,58,66,87.9,3,50,2,1,1
Rodri,16,ESP,DM,24,90,0,0,0,0,0,0,0,0,82,1,1,0,0.0,0.0,0.0,3,0,75,79,94.9,7,58,0,1,1
João Cancelo,27,POR,LB,26,90,0,0,0,0,1,0,0,0,115,4,0,0,0.0,0.0,0.0,2,0,99,108,91.7,13,76,2,4,3
Rúben Dias,3,POR,CB,23,90,0,0,0,0,0,0,0,0,100,2,0,3,0.0,0.0,0.0,0,0,83,88,94.3,6,72,0,1,0
John Stones,5,ENG,CB,26,90,0,0,0,0,0,0,0,0,84,0,1,0,0.0,0.0,0.0,0,0,77,80,96.3,3,63,0,1,1
Kyle Walker,2,ENG,RB,30,90,0,0,0,0,0,0,0,0,88,0,1,0,0.0,0.0,0.0,0,0,68,84,81.0,8,55,5,1,0
Ederson,31,BRA,GK,27,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,20,23,87.0,0,17,0,0,0
